Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_ratio,pred_bonus,pred_slot,age,age_filled,seasons_to_date,eligibility_basis_predraft
1,Early,Andrew Fischer,100.0,3.5127761,0.858,4288074.0,4997813.0,21.0,21.0,3,class
2,Early,Anthony Eyanson,100.0,12.159861,1.018,3209993.0,3152760.0,20.0,20.0,3,class
3,Early,Liam Doyle,100.0,18.991024,0.878,3870382.0,4406278.0,21.0,21.0,3,class
4,Early,Gavin Kilen,100.0,23.561258,0.978,2906596.0,2971341.0,21.0,21.0,3,class
5,Early,Jamie Arnold,100.0,25.025417,0.882,2009660.0,2279480.0,21.0,21.0,3,class
6,Early,Zachary Root,100.0,25.826708,1.043,2819502.0,2704466.0,21.0,21.0,3,class
7,Early,Aiva Arquette,99.8,26.701986,0.974,2080306.0,2134958.0,21.0,21.0,3,class
8,Early,J.D. Thompson,100.0,27.825489,0.734,1550552.0,2113261.0,21.0,21.0,3,class
9,Early,Wehiwa Aloy,99.9,32.72962,1.295,1989449.0,1536527.0,21.0,21.0,3,class
10,Early,Mitch Voit,100.0,35.18578,0.967,1673009.0,1730306.0,20.0,20.0,3,class
11,Early,Ike Irish,100.0,35.905975,0.988,2497912.0,2527207.0,21.0,21.0,3,class
12,Early,Alex Lodise,99.9,37.413574,1.048,1410989.0,1346082.0,21.0,21.0,3,class
13,Early,Kyle Lodise,99.9,38.74758,0.835,1167773.0,1398057.0,21.0,21.0,1,age
14,Early,Gavin Turley,99.4,41.45697,0.913,1328855.0,1454816.0,21.0,21.0,3,class
15,Early,Patrick Forbes,99.9,42.35019,1.109,1843140.0,1661754.0,20.0,20.0,3,class
16,Early,Cam Cannarella,98.9,42.587814,0.988,783271.0,792511.0,21.0,21.0,3,class
17,Early,JB Middleton,99.8,44.79037,0.942,892438.0,947434.0,21.0,21.0,3,class
18,Early,Cade Obermueller,100.0,45.084343,1.02,1009167.0,988988.0,21.0,21.0,3,class
19,Early,Justin Lamkin,100.0,45.55374,0.755,806739.0,1068491.0,21.0,21.0,3,class
20,Early,Tyler Bremner,100.0,46.736393,0.994,1741414.0,1751198.0,21.0,21.0,3,class
21,Early,Kane Kepley,99.9,49.129616,0.958,710133.0,741501.0,21.0,21.0,3,class
22,Early,Charles Davalan,99.9,53.60756,1.126,1176897.0,1045140.0,21.0,21.0,2,age
23,Early,Ben Jacobs,100.0,62.563995,1.084,684206.0,631248.0,21.0,21.0,3,class
