Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_bonus,pred_slot,class_ord,total_college_seasons,eligibility_basis
1,Early,Devin Taylor,100.0,-15.142821,3315917.0,2068776.0,3.0,3,seasons
2,Early,Andrew Fischer,100.0,-8.173097,3026828.0,3529004.0,3.0,3,seasons
3,Early,Anthony Eyanson,100.0,-2.552024,2353286.0,2298987.0,3.0,3,seasons
4,Early,Liam Doyle,100.0,5.92447,2964052.0,3927986.0,3.0,3,seasons
5,Early,JD Thompson,100.0,7.4594393,1843278.0,2029327.0,3.0,3,seasons
6,Early,Kyson Witherspoon,100.0,11.453238,1511092.0,1529206.0,3.0,2,class
7,Early,Patrick Forbes,100.0,12.030154,1605264.0,1878325.0,3.0,3,seasons
8,Early,Zach Root,99.9,12.495317,2154248.0,2563449.0,3.0,3,seasons
9,Early,Jamie Arnold,100.0,14.196241,1708026.0,1865114.0,3.0,3,seasons
10,Early,Wehiwa Aloy,100.0,16.313086,2681833.0,2518900.0,3.0,3,seasons
11,Early,Ike Irish,100.0,20.659986,3177775.0,3637657.0,3.0,3,seasons
12,Early,Pico Kohn,100.0,27.60083,927028.0,1544390.0,3.0,3,seasons
13,Early,Mitch Voit,100.0,34.366673,944993.0,1340432.0,3.0,3,seasons
14,Early,Tyler Bremner,100.0,35.795876,922871.0,937725.0,3.0,3,seasons
15,Early,Aiva Arquette,99.9,41.151646,2193544.0,2031430.0,2.0,3,seasons
16,Early,Gavin Kilen,100.0,45.209118,1608904.0,2315368.0,3.0,3,seasons
17,Early,Jace Laviolette,99.9,49.75938,825083.0,1292268.0,3.0,3,seasons
18,Early,Alex Lodise,99.9,50.83745,1367044.0,1649454.0,3.0,3,seasons
19,Early,Jared Jones,99.9,53.071327,1217108.0,1413687.0,3.0,3,seasons
20,Early,Ben Jacobs,99.7,57.133663,877765.0,655820.0,2.0,3,seasons
21,Early,Mason Neville,100.0,58.269833,1504604.0,1413527.0,3.0,3,seasons
22,Early,Cody Bowker,100.0,59.23864,703889.0,963505.0,3.0,3,seasons
23,Early,Justin Lamkin,100.0,61.8009,598522.0,911885.0,3.0,3,seasons
24,Early,Blake Gillespie,100.0,62.62543,903109.0,1559440.0,3.0,3,seasons
25,Early,Cade Obermueller,99.8,63.14079,617078.0,822141.0,3.0,3,seasons
26,Early,Cam Cannarella,99.9,67.88403,613286.0,786723.0,3.0,3,seasons
27,Early,Kane Kepley,100.0,70.113754,600444.0,840616.0,2.0,3,seasons
28,Early,Gavin Turley,99.9,71.56543,1842269.0,1656513.0,3.0,3,seasons
29,Early,JB Middleton,100.0,73.71732,999814.0,887360.0,3.0,3,seasons
30,Early,Easton Carmichael,100.0,78.7954,630845.0,1009170.0,3.0,3,seasons
31,Early,Gage Wood,99.9,80.78322,1187334.0,1650772.0,3.0,3,seasons
32,Early,Marcus Phillips,100.0,81.269,547932.0,911801.0,3.0,2,class
33,Early,Joey Volini,99.7,82.30166,647657.0,990510.0,2.0,3,seasons
34,Early,Dominic Fritton,100.0,82.66133,617190.0,700982.0,3.0,3,seasons
35,Early,Brendan Summerhill,99.9,83.69094,478992.0,1207434.0,3.0,3,seasons
36,Early,Mason White,99.9,84.032166,552922.0,1054082.0,3.0,3,seasons
37,Early,Aaron Walton,100.0,86.169846,719880.0,1714853.0,3.0,3,seasons
38,Early,Marek Houston,100.0,86.37568,1005150.0,907430.0,3.0,3,seasons
39,Early,Malachi Witherspoon,100.0,87.31927,446140.0,678068.0,3.0,2,class
40,Early,Owen Proksch,100.0,95.03796,357111.0,478775.0,3.0,3,seasons
41,Early,Matthew Miura,99.7,95.15201,927894.0,677876.0,3.0,3,seasons
42,Early,Luke Hill,99.9,100.36918,711542.0,778259.0,3.0,3,seasons
