Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_bonus,pred_slot,age,total_college_seasons,eligibility_basis
1,Early,Hunter Dietz,100.0,-0.006082356,3790231.0,2902686.0,21.0,3,class
2,Early,Cole Carlon,100.0,7.1690106,1659036.0,1825598.0,21.0,3,class
3,Early,Liam Peterson,100.0,10.879024,1509316.0,1052916.0,21.0,3,class
4,Early,Drew Burress,99.8,18.322044,2133672.0,3271514.0,21.0,3,class
5,Early,Jake Schaffner,99.9,21.74862,1208393.0,1103035.0,21.0,3,class
6,Early,Jarren Advincula,99.9,23.292212,2294259.0,2405140.0,21.0,3,class
7,Early,Owen Hull,100.0,30.05234,1484639.0,1149924.0,21.0,3,class
8,Early,Tegan Kuhns,100.0,37.279327,946925.0,800499.0,21.0,2,age
9,Early,Ryder Helfrick,99.8,38.75275,1095951.0,859159.0,21.0,3,class
10,Early,Roch Cholowsky,99.5,41.53511,1284251.0,1091961.0,21.0,3,class
11,Early,Carson Tinney,100.0,41.86006,3266694.0,2411118.0,21.0,3,class
12,Early,Daniel Jackson,100.0,43.01286,1873623.0,3101623.0,21.0,2,age
13,Early,AJ Gracia,100.0,43.30586,1296691.0,1192253.0,21.0,3,class
14,Early,Mulivai Levu,99.8,44.367546,1307630.0,1204257.0,21.0,3,class
15,Early,Nathan Taylor,100.0,45.184975,763616.0,978074.0,21.0,3,class
16,Early,Joey Volchko,100.0,45.822727,1411254.0,1318422.0,21.0,3,class
17,Early,Ethan Kleinschmit,100.0,46.8223,1363913.0,1203062.0,21.0,2,age
18,Early,Dee Kennedy,100.0,46.865376,1154093.0,1310945.0,21.0,3,class
19,Early,Wes Mendes,100.0,48.144775,1715028.0,1402303.0,21.0,3,class
20,Early,Henry Ford,99.3,50.329277,749336.0,1105656.0,21.0,3,class
21,Early,Carson Kerce,99.8,50.89171,1161752.0,1169484.0,21.0,3,class
22,Early,Aidan Knaak,99.8,52.003,682281.0,940120.0,21.0,3,class
23,Early,Alex Sosa,100.0,52.977993,1213222.0,997439.0,21.0,3,class
24,Early,Aiden Robbins,99.9,56.816666,1816057.0,2042548.0,21.0,3,class
25,Early,Gavin Grahovac,99.9,57.87026,1044830.0,1503522.0,21.0,3,class
26,Early,Ethan Norby,100.0,58.402523,871827.0,1278314.0,21.0,3,class
27,Early,Camden Kozeal,99.7,61.38802,1075979.0,902510.0,21.0,1,age
28,Early,Tyson LeBlanc,99.9,62.902004,1673662.0,2867840.0,21.0,1,age
29,Early,Daniel Cuvet,99.9,62.943977,741514.0,717120.0,21.0,3,class
30,Early,Jack Natili,99.6,63.49729,724378.0,728337.0,21.0,2,age
31,Early,Ace Reese,99.6,63.55447,979685.0,1446270.0,21.0,3,class
32,Early,Caden Sorrell,99.8,63.681587,979490.0,1191150.0,21.0,3,class
33,Early,Christopher Hacopian,99.7,65.279755,870130.0,1156032.0,21.0,3,class
34,Early,Connor Fennell,100.0,67.092735,1009836.0,737342.0,21.0,3,class
35,Early,Taylor Rabe,100.0,67.70979,905537.0,644928.0,21.0,2,age
36,Early,Kade Lewis,100.0,71.41473,825398.0,822345.0,21.0,3,class
37,Early,Cade Townsend,100.0,71.41499,732191.0,795379.0,21.0,2,age
38,Early,Colby Turner,99.9,71.62876,506485.0,1040889.0,21.0,3,class
39,Early,Jackson Flora,99.9,72.3723,1387577.0,1445576.0,21.0,3,class
40,Early,Trey Beard,100.0,72.54508,734024.0,757201.0,21.0,3,class
41,Early,LJ Mercurius,100.0,74.15074,760676.0,525253.0,21.0,3,class
42,Early,Trevor Hansen,99.9,75.63482,539978.0,518691.0,21.0,4,class
43,Early,Dominic Voegele,100.0,76.2618,823157.0,752573.0,21.0,3,class
44,Early,Ethan Mendoza,100.0,78.02102,709441.0,974464.0,21.0,3,class
45,Early,Brayden Dowd,100.0,78.1119,584331.0,746334.0,21.0,3,class
46,Early,Jack Radel,100.0,78.41858,1199042.0,804230.0,21.0,3,class
47,Early,Joe Tiroly,99.7,82.796196,697653.0,783221.0,21.0,3,class
48,Early,Eric Segura,100.0,82.893936,880278.0,1243537.0,21.0,3,class
