Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_bonus,pred_slot,class_ord,total_college_seasons,eligibility_basis
1,Early,Cole Carlon,98.8,-10.961881,2836032.0,1901510.0,3.0,3,seasons
2,Early,Hunter Dietz,93.0,-6.696994,3225131.0,3162444.0,2.0,3,seasons
3,Early,Mason Edwards,99.2,15.470318,3236251.0,2864568.0,3.0,3,seasons
4,Early,Jake Schaffner,98.3,20.110098,1206761.0,1006227.0,3.0,3,seasons
5,Early,AJ Gracia,94.8,23.22256,1782714.0,1797130.0,3.0,3,seasons
6,Early,Liam Peterson,98.5,35.897785,1711578.0,1018195.0,3.0,3,seasons
7,Early,Vahn Lackey,97.6,37.878918,2022841.0,3085362.0,3.0,3,seasons
8,Early,Roch Cholowsky,93.4,38.75257,864881.0,1299044.0,3.0,3,seasons
9,Early,Owen Hull,96.5,44.187866,1352354.0,1523362.0,3.0,3,seasons
10,Early,Ryder Helfrick,89.8,44.71277,645378.0,865625.0,3.0,3,seasons
11,Early,Gavin Grahovac,97.2,50.60002,1814641.0,1680418.0,3.0,3,seasons
12,Early,Drew Burress,96.1,51.79991,1932127.0,2544228.0,3.0,3,seasons
13,Early,Wes Mendes,99.0,52.17079,1788584.0,1790917.0,3.0,3,seasons
14,Early,Chris Hacopian,89.8,52.9758,1171542.0,1304773.0,3.0,3,seasons
15,Early,Caden Sorrell,97.5,54.416225,1888129.0,1959615.0,3.0,3,seasons
16,Early,Dee Kennedy,93.1,54.92249,1233301.0,1173915.0,3.0,3,seasons
17,Early,Daniel Jackson,96.3,56.08015,1687232.0,2649654.0,3.0,3,seasons
18,Early,Jarren Advincula,97.7,57.95095,1890114.0,2736191.0,3.0,3,seasons
19,Early,Aiden Robbins,94.2,60.39676,1514738.0,2214046.0,3.0,3,seasons
20,Early,Carson Tinney,94.2,64.65679,2298534.0,2001561.0,3.0,3,seasons
21,Early,Dominic Voegele,98.0,65.906624,889663.0,837257.0,3.0,3,seasons
22,Early,Jackson Flora,97.1,68.242004,1760544.0,1551511.0,3.0,3,seasons
23,Early,Nathan Taylor,97.7,68.307686,858562.0,674100.0,3.0,3,seasons
24,Early,Ethan Mendoza,93.3,69.49032,797580.0,1016826.0,3.0,3,seasons
25,Early,Alex Sosa,82.3,69.75403,942092.0,839214.0,3.0,3,seasons
26,Early,Mulivai Levu,95.2,70.57054,950247.0,1191375.0,3.0,3,seasons
27,Early,Brayden Dowd,94.7,70.93885,632989.0,899420.0,3.0,3,seasons
28,Early,Carson Kerce,92.9,71.56626,1049180.0,1250710.0,3.0,3,seasons
29,Early,Ace Reese,90.9,73.75649,1244188.0,1311492.0,3.0,3,seasons
30,Early,Logan Hughes,93.2,74.133865,1075994.0,1315968.0,3.0,3,seasons
31,Early,Daniel Cuvet,83.1,75.10674,823073.0,884501.0,3.0,3,seasons
32,Early,Tre Phelps,95.4,77.65382,1321246.0,1606111.0,3.0,3,seasons
33,Early,Joey Volchko,98.2,80.92872,1150096.0,1128096.0,3.0,3,seasons
34,Early,Tyler Fay,98.5,81.56413,1040784.0,1460034.0,3.0,3,seasons
35,Early,Zane Adams,95.9,83.26891,736441.0,970869.0,3.0,3,seasons
36,Early,Justin Lebron,79.4,84.59369,534044.0,878709.0,3.0,3,seasons
37,Early,Ethan Norby,97.7,84.6819,951769.0,1167120.0,3.0,3,seasons
38,Early,Trey Beard,96.4,86.157036,551112.0,613554.0,3.0,3,seasons
39,Early,Jack Radel,97.4,89.26321,749936.0,637542.0,3.0,3,seasons
40,Early,Aidan Knaak,95.8,89.39019,502665.0,913312.0,3.0,3,seasons
41,Early,Connor Fennell,98.0,91.78383,577502.0,588268.0,3.0,3,seasons
42,Early,Ben Blair,98.2,93.74218,573938.0,661410.0,3.0,3,seasons
43,Early,Logan Reddemann,97.0,94.34874,754663.0,1136535.0,3.0,3,seasons
44,Early,Ethan Kleinschmit,90.0,95.53259,884572.0,933607.0,3.0,2,class
45,Early,Alex Petrovic,72.2,97.03768,646431.0,646569.0,2.0,3,seasons
46,Early,Jack Natili,73.8,101.740585,495642.0,462936.0,3.0,3,seasons
47,Early,Davis Gillespie,66.3,104.28348,417803.0,533641.0,3.0,3,seasons
48,Early,Andrew Williamson,81.2,104.78425,691490.0,821164.0,3.0,3,seasons
49,Early,Gabe Gaeckle,75.8,105.8122,477855.0,388766.0,3.0,3,seasons
50,Early,LJ Mercurius,89.1,108.348076,622322.0,527611.0,3.0,3,seasons
51,Middle,Bear Harrison,83.1,110.12363,758509.0,1156866.0,3.0,3,seasons
52,Middle,Cooper Moore,95.3,111.88721,610236.0,800011.0,3.0,3,seasons
53,Middle,Ryan Tayman,57.2,113.71714,335945.0,439379.0,3.0,3,seasons
54,Middle,Ryan Zuckerman,88.5,114.2323,646893.0,730993.0,3.0,3,seasons
55,Middle,Isaiah Magdaleno,94.5,114.7666,861361.0,848228.0,3.0,3,seasons
