Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_bonus,pred_slot,class_ord,total_college_seasons,eligibility_basis
1,Early,Liam Peterson,99.8,-17.771194,5172180.0,3726565.0,3.0,3,seasons
2,Early,Cole Carlon,99.8,-15.0171585,4555458.0,4745684.0,3.0,3,seasons
3,Early,Justin Lebron,99.5,-9.90474,3029083.0,4207396.0,3.0,3,seasons
4,Early,Drew Burress,98.4,-8.594597,5227776.0,5504120.0,3.0,3,seasons
5,Early,Hunter Dietz,99.7,-0.92989,4797451.0,5365573.0,2.0,3,seasons
6,Early,Vahn Lackey,99.3,-0.34915182,6245306.0,7244840.0,3.0,3,seasons
7,Early,Ryder Helfrick,99.5,3.127976,3435266.0,3919260.0,3.0,3,seasons
8,Early,Chris Hacopian,99.7,3.5563378,3928949.0,4318956.0,3.0,3,seasons
9,Early,Roch Cholowsky,99.6,7.149946,5333463.0,6076686.0,3.0,3,seasons
10,Early,Jarren Advincula,99.3,10.1572075,2112208.0,2145184.0,3.0,3,seasons
11,Early,Jake Schaffner,99.9,13.398443,1157356.0,1159689.0,3.0,3,seasons
12,Early,Cameron Flukey,99.7,16.414965,4788113.0,4667509.0,3.0,3,seasons
13,Early,Dee Kennedy,99.7,18.317171,1330435.0,1362789.0,3.0,3,seasons
14,Early,AJ Gracia,99.8,21.024706,5065403.0,4468488.0,3.0,3,seasons
15,Early,Ace Reese,99.1,22.384445,3161956.0,3298007.0,3.0,3,seasons
16,Early,Jack Radel,99.8,27.029665,1989008.0,1751295.0,3.0,3,seasons
17,Early,Shane Sdao,99.1,27.353363,749606.0,879941.0,3.0,3,seasons
18,Early,Mulivai Levu,99.7,28.963818,1940642.0,1855534.0,3.0,3,seasons
19,Early,Daniel Jackson,99.6,29.034704,2633744.0,2919346.0,3.0,3,seasons
20,Early,Logan Reddemann,99.7,30.529757,2229743.0,2820464.0,3.0,3,seasons
21,Early,Mason Edwards,99.6,30.957022,1688397.0,1569902.0,3.0,3,seasons
22,Early,Caden Bogenpohl,98.9,33.40582,514757.0,569106.0,3.0,3,seasons
23,Early,Owen Hull,99.6,34.448727,1279252.0,1426028.0,3.0,3,seasons
24,Early,Gavin Grahovac,99.8,35.796223,1486414.0,1508862.0,3.0,3,seasons
25,Early,Ruger Riojas,99.7,35.813637,700930.0,1056972.0,4.0,4,seasons
26,Early,Aiden Robbins,99.6,37.067604,2339192.0,2473036.0,3.0,3,seasons
27,Early,Jack Natili,99.1,37.302353,1015874.0,940351.0,3.0,3,seasons
28,Early,Jake Brown,99.4,38.912605,1174603.0,1311119.0,3.0,3,seasons
29,Early,Caden Sorrell,99.3,40.519043,2078854.0,2140161.0,3.0,3,seasons
30,Early,Zion Rose,99.7,40.562275,3259584.0,3070710.0,3.0,3,seasons
31,Early,Gabe Gaeckle,99.7,41.276318,838607.0,846410.0,3.0,3,seasons
32,Early,Jacob Dudan,99.8,42.557583,1045273.0,1011082.0,3.0,3,seasons
33,Early,Ben Blair,99.9,42.724377,1026782.0,1342501.0,3.0,3,seasons
34,Early,Logan Hughes,97.7,45.065865,1643208.0,1658852.0,3.0,3,seasons
35,Early,Wes Mendes,99.8,47.34239,1593381.0,1459122.0,3.0,3,seasons
36,Early,Daniel Cuvet,99.6,48.009872,773047.0,799324.0,3.0,3,seasons
37,Early,Jackson Flora,99.8,48.195587,5079659.0,5973326.0,3.0,3,seasons
38,Early,Ethan Kleinschmit,99.5,49.472523,1040549.0,1314803.0,3.0,2,class
39,Early,Carson Kerce,97.5,49.979557,912274.0,1045468.0,3.0,3,seasons
40,Early,Joey Volchko,99.8,50.26756,1233480.0,1127707.0,3.0,3,seasons
41,Early,Deiten Lachance,99.2,50.454727,832880.0,794825.0,3.0,1,class
42,Early,Evan Dempsey,99.9,51.22175,848110.0,667988.0,3.0,3,seasons
43,Early,Andrew Williamson,99.4,59.145737,1548590.0,1445606.0,3.0,3,seasons
44,Early,Tre Broussard,98.9,59.20892,742458.0,743859.0,3.0,2,class
45,Early,Ryan Peterson,99.7,60.87558,537977.0,623889.0,3.0,3,seasons
46,Early,Ethan McElvain,98.5,64.43261,629351.0,559363.0,3.0,1,class
47,Early,Eric Becker,99.7,66.83527,1076620.0,1094357.0,3.0,3,seasons
48,Early,Joe Tiroly,99.0,67.8108,622139.0,682618.0,3.0,3,seasons
49,Early,Kade Lewis,99.7,67.99997,793568.0,773130.0,3.0,3,seasons
50,Early,Tyson LeBlanc,99.1,68.51447,864396.0,880212.0,3.0,1,class
51,Middle,Kollin Ritchie,99.5,70.27525,751216.0,872087.0,3.0,3,seasons
52,Middle,Carson Tinney,99.5,70.86141,777341.0,953465.0,3.0,3,seasons
53,Middle,Aidan Knaak,98.5,71.70978,464280.0,655406.0,3.0,3,seasons
54,Middle,Jaxon Willits,97.8,73.97999,773255.0,632018.0,3.0,3,seasons
55,Middle,Chase Brunson,99.3,75.8182,1046778.0,1081589.0,3.0,3,seasons
56,Middle,Will Gasparino,99.0,81.318954,644816.0,940119.0,3.0,3,seasons
57,Middle,Nathan Taylor,99.4,82.20622,440260.0,446719.0,3.0,3,seasons
58,Middle,Tre Phelps,98.9,82.8969,738993.0,703321.0,3.0,3,seasons
59,Middle,Alex Sosa,98.4,84.85117,578976.0,562989.0,3.0,3,seasons
60,Middle,Ryan Lynch,96.6,85.18022,597219.0,640954.0,2.0,3,seasons
61,Middle,Ryan Marohn,99.5,88.45131,522558.0,603654.0,3.0,3,seasons
62,Middle,Henry Ford,88.2,89.42853,487994.0,679404.0,3.0,3,seasons
63,Middle,Trey Beard,99.4,93.01606,716033.0,612414.0,3.0,3,seasons
64,Middle,Brayden Dowd,99.8,95.78665,433768.0,505474.0,3.0,3,seasons
65,Middle,Dominic Voegele,99.8,96.0474,471712.0,499760.0,3.0,3,seasons
66,Middle,Isaac Morton,98.1,96.17889,234232.0,401413.0,3.0,3,seasons
67,Middle,Peyton Bonds,98.7,97.234024,915159.0,960594.0,3.0,3,seasons
68,Middle,Brett Renfrow,99.0,97.79707,700235.0,558223.0,3.0,3,seasons
69,Middle,LJ Mercurius,99.3,97.861885,600690.0,503073.0,3.0,3,seasons
70,Middle,Ryan Cooney,99.1,99.82268,663642.0,678450.0,3.0,3,seasons
71,Middle,Russell Sandefer,99.0,103.83275,444751.0,508213.0,3.0,2,class
72,Middle,Ethan Norby,99.7,104.05823,528758.0,672157.0,3.0,3,seasons
73,Middle,Camden Johnson,98.7,105.37307,595445.0,617210.0,3.0,3,seasons
74,Middle,Jason DeCaro,99.4,106.003334,626700.0,532921.0,3.0,3,seasons
75,Middle,Alex Conover,99.5,106.25344,471892.0,473015.0,3.0,2,class
76,Middle,Luke McNeillie,99.6,106.48117,518526.0,490234.0,3.0,3,seasons
77,Middle,Kyle Jones,99.2,108.0812,740605.0,680267.0,3.0,3,seasons
78,Middle,Jaxon Jelkin,99.6,111.51409,249103.0,497646.0,4.0,3,seasons
79,Middle,Trevor Hansen,99.4,112.727005,340372.0,405328.0,3.0,4,seasons
80,Middle,Roman Martin,98.3,115.22556,622182.0,763969.0,3.0,3,seasons
81,Middle,Tyler Fay,97.7,118.749466,389048.0,489453.0,3.0,3,seasons
82,Middle,Brendan Brock,99.2,120.643074,651351.0,578423.0,3.0,1,class
83,Middle,Maxx Yehl,96.7,120.65399,161027.0,373369.0,4.0,1,class
84,Middle,Ryan Lynch,97.2,122.14827,577436.0,670584.0,4.0,3,seasons
85,Middle,Declan Dahl,99.5,122.55903,281941.0,397855.0,3.0,1,class
86,Middle,Carter Beck,99.0,123.011246,439783.0,423134.0,3.0,1,class
87,Middle,Eric Segura,98.1,123.40767,314708.0,461916.0,3.0,3,seasons
88,Middle,Gavin Gallaher,97.0,124.47416,418089.0,451742.0,3.0,3,seasons
89,Middle,Garrett Wright,88.6,128.55902,405162.0,437631.0,3.0,3,seasons
90,Middle,Justin LeGuernic,98.2,129.52142,347982.0,438053.0,3.0,3,seasons
91,Middle,Ricky Ojeda,95.8,130.80527,173245.0,258912.0,3.0,3,seasons
92,Middle,Bo Rhudy,95.3,131.6296,517192.0,558204.0,3.0,3,seasons
93,Middle,Thomas Burns,97.9,132.11197,375247.0,483499.0,3.0,3,seasons
94,Middle,Caden Ferraro,79.9,133.0797,482433.0,583311.0,3.0,1,class
95,Middle,Eric Nachtsheim,99.4,135.66745,124951.0,319588.0,4.0,2,class
96,Middle,Owen Kramkowski,96.7,136.38675,208634.0,313143.0,3.0,3,seasons
97,Middle,Cal Randall,98.2,136.77817,349705.0,523102.0,3.0,3,seasons
98,Middle,Cashel Dugger,82.0,137.18553,259597.0,347665.0,3.0,3,seasons
99,Middle,Gage Peterson,97.2,139.0982,279752.0,326346.0,3.0,1,class
100,Middle,Josh McDevitt,98.6,140.6191,348610.0,353364.0,3.0,3,seasons
101,Middle,Nu'u Contrades,97.5,142.5798,130386.0,420648.0,4.0,4,seasons
102,Middle,Max Bayles,97.6,143.7395,254595.0,255443.0,3.0,3,seasons
103,Middle,Dylan Vigue,98.4,144.53418,373037.0,346103.0,3.0,3,seasons
104,Middle,Luke Gaffney,65.2,144.90746,283349.0,435593.0,3.0,3,seasons
105,Middle,Kyle Johnson,95.8,148.66983,435681.0,498504.0,3.0,3,seasons
106,Middle,Lucas Moore,90.8,153.41722,296541.0,335011.0,3.0,3,seasons
107,Middle,Luke Harrison,65.0,155.71823,70878.0,266789.0,4.0,4,seasons
108,Middle,Ethan Mendoza,83.2,156.36188,318488.0,428532.0,3.0,3,seasons
109,Middle,Robbie Lavey,96.6,158.2682,329076.0,304455.0,3.0,3,seasons
110,Middle,Hudson Calhoun,97.3,159.89613,351257.0,366232.0,3.0,3,seasons
111,Middle,Tommy LaPour,99.3,160.00044,390241.0,470904.0,3.0,3,seasons
112,Middle,Micah Worley,94.0,162.72713,134734.0,333031.0,4.0,2,class
113,Middle,Eric Guevara,98.2,164.77754,473266.0,421550.0,3.0,3,seasons
114,Middle,Andrew Evans,62.4,167.0601,128484.0,278798.0,3.0,3,seasons
115,Middle,Braden Holcomb,92.7,169.20638,327719.0,382040.0,3.0,3,seasons
116,Middle,Maddox Molony,92.9,169.32315,350737.0,421841.0,3.0,3,seasons
117,Middle,Ben Davis,92.2,169.97974,103554.0,325575.0,4.0,2,class
118,Middle,Cameron Johnson,92.5,170.95732,266893.0,251960.0,3.0,3,seasons
119,Middle,Connor Fennell,89.6,173.60292,329236.0,290350.0,3.0,3,seasons
120,Middle,Evan Blanco,85.2,173.6997,84702.0,305547.0,4.0,4,seasons
121,Middle,Bear Harrison,74.2,174.03506,210295.0,369068.0,3.0,3,seasons
122,Middle,Zane Adams,90.6,175.09859,250019.0,340784.0,3.0,3,seasons
123,Middle,Caden Aoki,79.0,178.15894,76134.0,286285.0,4.0,5,seasons
124,Middle,Tate McKee,77.6,180.85863,272109.0,360956.0,3.0,3,seasons
125,Middle,Dawson Montesa,99.3,184.69061,370508.0,386612.0,3.0,1,class
126,Middle,Cooper Allen,80.5,185.04895,160434.0,249026.0,3.0,3,seasons
127,Middle,Steven Cash,83.6,188.58405,158241.0,244290.0,3.0,4,seasons
128,Middle,Weston Moss,69.2,194.32344,283414.0,330518.0,3.0,3,seasons
129,Middle,James Guyette,90.8,194.36209,261964.0,321188.0,3.0,3,seasons
130,Middle,Camden Kozeal,73.6,196.1751,191389.0,298033.0,3.0,1,class
131,Middle,Cooper Consiglio,80.1,196.71127,241407.0,286055.0,3.0,3,seasons
132,Middle,Isaiah Magdaleno,91.6,197.22758,214023.0,305121.0,3.0,3,seasons
133,Middle,Hunter Elliott,72.8,197.95422,47273.0,260479.0,4.0,4,seasons
134,Middle,Toby Twist,62.5,197.98572,183990.0,237196.0,3.0,3,seasons
135,Middle,Justin Byrd,57.4,198.97342,202190.0,288012.0,3.0,2,class
136,Middle,Michael Harpster,98.3,200.00525,249508.0,295524.0,3.0,3,seasons
137,Middle,Gable Mitchell,77.4,200.10243,40270.0,265260.0,4.0,4,seasons
138,Middle,Miles Gosztola,58.4,200.4991,166145.0,247396.0,3.0,1,class
139,Middle,Travis Sanders,66.0,201.97633,202517.0,304907.0,3.0,3,seasons
140,Middle,Alec Bouchard,83.1,202.06876,212418.0,310001.0,3.0,3,seasons
141,Middle,Alex Fernandes,59.5,202.62187,59998.0,234275.0,4.0,3,seasons
142,Middle,Tanner Griffith,73.8,203.76817,332791.0,354408.0,3.0,3,seasons
143,Middle,Kevin Takeuchi,82.7,203.88046,204535.0,262063.0,3.0,3,seasons
144,Middle,Nick Dirito,58.1,204.91737,195857.0,271891.0,3.0,3,seasons
145,Middle,Steven Milam,75.3,205.5042,278966.0,335016.0,3.0,3,seasons
146,Middle,Colby Turner,83.3,205.78352,303747.0,410808.0,3.0,3,seasons
147,Middle,Dom Decker,55.0,208.04715,172244.0,354059.0,3.0,1,class
148,Middle,Charlie West,94.9,208.80113,217010.0,293901.0,3.0,3,seasons
149,Middle,Ryan Gerety,55.5,209.23181,237709.0,301871.0,3.0,3,seasons
150,Middle,Ryan Tayman,52.7,210.5053,175900.0,253180.0,3.0,3,seasons
151,Late,Cooper Moore,83.0,211.47798,258918.0,279070.0,3.0,3,seasons
152,Late,Ty Horn,67.6,211.67157,190512.0,258693.0,3.0,3,seasons
153,Late,Blake Morningstar,59.6,212.18375,192674.0,269698.0,3.0,3,seasons
154,Late,Chris Katz,77.4,212.38945,40784.0,364112.0,4.0,5,seasons
155,Late,Carlos Martinez,79.4,212.78372,107343.0,313415.0,4.0,3,seasons
156,Late,Colin Fisher,58.3,213.7142,183729.0,234527.0,3.0,3,seasons
157,Late,Gavin Van Kempen,77.2,213.98265,141553.0,330556.0,4.0,4,seasons
158,Late,Noah Kenney,57.2,214.23969,160945.0,268689.0,3.0,1,class
159,Late,Darin Horn,72.5,215.6115,86377.0,362598.0,4.0,4,seasons
160,Late,Jayce Tharnish,52.9,216.31853,43387.0,247139.0,4.0,4,seasons
161,Late,Chris Olivier,55.2,217.18016,60177.0,201197.0,4.0,3,seasons
162,Late,Matthew Dallas,75.6,217.27794,193259.0,342579.0,3.0,3,seasons
163,Late,Boede Rahe,74.1,219.86232,132920.0,214352.0,3.0,1,class
