Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,RPI,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
1,Arkansas,SEC,22-8,22,8,50-13,50,13,1,1,20-2,20,2,3,42,30-8,30,8,13-5,13,5,7-0,7,0,30-10,30,10,6-2,6,2,6-1,6,1,8-0,8,0
2,Mississippi State,SEC,20-10,20,10,50-18,50,18,2,2,20-3,20,3,5,37,30-9,30,9,12-4,12,4,8-5,8,5,22-14,22,14,10-1,10,1,9-3,9,3,9-0,9,0
3,Vanderbilt,SEC,19-10,19,10,49-18,49,18,3,4,20-3,20,3,10,80,32-6,32,6,12-7,12,7,5-5,5,5,27-15,27,15,2-2,2,2,9-0,9,0,11-1,11,1
4,Texas,Big 12,17-7,17,7,50-17,50,17,4,16,23-6,23,6,17,56,32-5,32,5,13-5,13,5,5-7,5,7,17-11,17,11,17-4,17,4,1-0,1,0,15-2,15,2
5,Notre Dame,ACC,25-10,25,10,34-13,34,13,5,23,4-0,4,0,1,16,17-6,17,6,16-6,16,6,1-1,1,1,18-8,18,8,11-4,11,4,2-1,2,1,3-0,3,0
6,Tennessee,SEC,20-10,20,10,50-18,50,18,6,13,22-4,22,4,22,111,31-9,31,9,16-5,16,5,3-4,3,4,23-15,23,15,9-2,9,2,6-0,6,0,12-1,12,1
7,Stanford,Pac-12,17-10,17,10,39-17,39,17,7,14,16-4,16,4,11,52,24-6,24,6,14-9,14,9,1-2,1,2,18-9,18,9,6-3,6,3,6-2,6,2,9-3,9,3
8,Arizona,Pac-12,21-9,21,9,45-18,45,18,8,15,19-6,19,6,23,33,32-8,32,8,9-8,9,8,4-2,4,2,16-12,16,12,10-5,10,5,8-0,8,0,11-1,11,1
9,Fairfield,MAAC,33-1,33,1,39-5,39,5,9,116,0-0,0,0,238,26,27-3,27,3,10-1,10,1,2-1,2,1,1-2,1,2,14-2,14,2,4-0,4,0,20-1,20,1
10,TCU,Big 12,17-7,17,7,41-19,41,19,10,12,19-9,19,9,43,86,20-9,20,9,14-6,14,6,7-4,7,4,15-10,15,10,12-4,12,4,7-4,7,4,7-1,7,1
11,Ole Miss,SEC,18-12,18,12,45-22,45,22,11,8,20-5,20,5,35,127,30-10,30,10,9-10,9,10,6-2,6,2,22-16,22,16,3-4,3,4,7-1,7,1,13-1,13,1
12,North Carolina State,ACC,19-14,19,14,37-19,37,19,12,11,9-1,9,1,2,8,13-12,13,12,19-4,19,4,5-3,5,3,16-12,16,12,12-6,12,6,4-1,4,1,5-0,5,0
13,Old Dominion,Conference USA,22-10,22,10,44-16,44,16,13,40,16-4,16,4,13,31,22-8,22,8,18-7,18,7,4-1,4,1,15-8,15,8,8-5,8,5,6-2,6,2,15-1,15,1
14,Texas Tech,Big 12,14-10,14,10,39-17,39,17,14,17,21-3,21,3,12,84,27-7,27,7,7-5,7,5,5-5,5,5,16-11,16,11,11-6,11,6,2-0,2,0,10-0,10,0
15,East Carolina,American Athletic,20-8,20,8,44-17,44,17,15,41,18-5,18,5,8,38,30-4,30,4,11-11,11,11,3-2,3,2,7-4,7,4,24-11,24,11,1-1,1,1,12-1,12,1
16,Oklahoma State,Big 12,12-12,12,12,36-19-1,36,19,16,10,20-4-1,20,4,19,64,23-8-1,23,8,8-7,8,7,5-4,5,4,6-13-0,6,13,20-4-1,20,4,4-2-0,4,2,6-0-0,6,0
17,Oregon,Pac-12,20-10,20,10,39-16,39,16,17,46,17-4,17,4,39,176,23-9,23,9,16-7,16,7,0-0,0,0,17-9,17,9,3-3,3,3,3-1,3,1,16-3,16,3
18,Oregon State,Pac-12,16-14,16,14,37-24,37,24,18,21,18-8,18,8,25,48,17-9,17,9,15-12,15,12,5-3,5,3,10-18,10,18,9-2,9,2,3-1,3,1,15-3,15,3
19,LSU,SEC,13-17,13,17,38-25,38,25,19,3,21-4,21,4,24,91,24-14,24,14,12-9,12,9,2-2,2,2,12-18,12,18,9-3,9,3,11-3,11,3,6-1,6,1
20,South Carolina,SEC,16-14,16,14,34-23,34,23,20,5,17-6,17,6,33,108,23-10,23,10,10-11,10,11,1-2,1,2,12-20,12,20,8-1,8,1,7-1,7,1,7-1,7,1
21,Duke,ACC,16-17,16,17,33-22,33,22,21,20,12-3,12,3,4,18,17-7,17,7,11-13,11,13,5-2,5,2,12-15,12,15,14-5,14,5,2-2,2,2,5-0,5,0
22,Southern Miss,Conference USA,22-9,22,9,40-21,40,21,22,35,13-8,13,8,40,32,22-8,22,8,15-11,15,11,3-2,3,2,9-11,9,11,6-5,6,5,12-3,12,3,13-2,13,2
23,UCLA,Pac-12,18-12,18,12,37-20,37,20,23,33,17-6,17,6,32,90,21-9,21,9,14-10,14,10,2-1,2,1,15-10,15,10,3-3,3,3,7-3,7,3,12-4,12,4
24,UC Irvine,Big West,32-8,32,8,43-18,43,18,24,86,8-8,8,8,26,5,23-4,23,4,18-14,18,14,2-0,2,0,9-9,9,9,3-2,3,2,2-2,2,2,29-5,29,5
25,Connecticut,Big East,13-4,13,4,34-19,34,19,25,55,17-12,17,12,38,63,16-1,16,1,13-15,13,15,5-3,5,3,2-10,2,10,8-3,8,3,13-4,13,4,11-2,11,2
26,Florida,SEC,17-13,17,13,38-22,38,22,26,26,18-6,18,6,59,150,28-9,28,9,7-12,7,12,3-1,3,1,11-15,11,15,9-4,9,4,10-2,10,2,8-1,8,1
27,Virginia,ACC,18-18,18,18,36-27,36,27,27,9,9-4,9,4,15,9,17-12,17,12,12-11,12,11,7-4,7,4,17-20,17,20,10-6,10,6,4-1,4,1,5-0,5,0
28,Gonzaga,West Coast,20-7,20,7,34-19,34,19,28,52,13-10,13,10,14,7,15-5,15,5,16-11,16,11,3-3,3,3,6-10,6,10,4-3,4,3,4-2,4,2,20-4,20,4
29,Louisiana Tech,Conference USA,22-8,22,8,42-20,42,20,29,39,14-8,14,8,28,29,25-14,25,14,16-6,16,6,1-0,1,0,10-13,10,13,9-1,9,1,7-3,7,3,16-3,16,3
30,Nebraska,Big Ten,31-12,31,12,34-14,34,14,30,87,0-0,0,0,109,1,10-5,10,5,14-5,14,5,10-4,10,4,2-2,2,2,7-4,7,4,11-6,11,6,14-2,14,2
31,VCU,Atlantic 10,13-3,13,3,38-16,38,16,31,104,21-11,21,11,34,104,20-3,20,3,17-12,17,12,1-1,1,1,6-6,6,6,2-4,2,4,5-5,5,5,25-1,25,1
32,Miami (FL),ACC,20-15,20,15,33-21,33,21,32,32,12-2,12,2,6,59,18-7,18,7,14-10,14,10,1-4,1,4,12-11,12,11,15-8,15,8,3-2,3,2,3-0,3,0
33,Wright State,Horizon League,28-4,28,4,32-13,32,13,33,114,1-7,1,7,163,11,18-1,18,1,13-9,13,9,1-3,1,3,0-7,0,7,1-2,1,2,10-3,10,3,21-1,21,1
34,Charlotte,Conference USA,24-8,24,8,40-21,40,21,34,51,15-9,15,9,53,62,27-6,27,6,12-12,12,12,1-3,1,3,6-8,6,8,13-8,13,8,10-2,10,2,11-3,11,3
35,Liberty,ASUN,19-2,19,2,41-16,41,16,35,131,16-10,16,10,18,14,24-2,24,2,14-12,14,12,3-2,3,2,9-11,9,11,7-1,7,1,7-1,7,1,18-3,18,3
36,Alabama,SEC,12-17,12,17,32-26,32,26,36,6,17-5,17,5,29,76,19-13,19,13,10-10,10,10,3-3,3,3,8-19,8,19,7-2,7,2,13-3,13,3,4-2,4,2
37,Campbell,Big South,28-9,28,9,37-18,37,18,37,72,5-5,5,5,55,13,22-5,22,5,11-10,11,10,4-3,4,3,3-6,3,6,7-1,7,1,8-7,8,7,19-4,19,4
38,Indiana State,Missouri Valley,14-10,14,10,31-21,31,21,38,68,13-7,13,7,31,121,5-3,5,3,21-12,21,12,5-6,5,6,3-9,3,9,7-6,7,6,7-1,7,1,14-5,14,5
39,Northeastern,Colonial Athletic,20-3,20,3,36-12,36,12,39,179,12-6,12,6,74,169,21-2,21,2,13-8,13,8,2-2,2,2,1-3,1,3,4-3,4,3,0-2,0,2,31-4,31,4
40,Arizona State,Pac-12,16-14,16,14,33-22,33,22,40,29,16-6,16,6,30,53,22-11,22,11,10-10,10,10,1-1,1,1,8-13,8,13,9-3,9,3,4-2,4,2,12-4,12,4
41,Georgia Tech,ACC,21-15,21,15,31-25,31,25,41,25,7-6,7,6,101,81,15-13,15,13,13-10,13,10,3-2,3,2,15-13,15,13,12-7,12,7,1-3,1,3,3-2,3,2
42,Dallas Baptist,Missouri Valley,18-6,18,6,41-18,41,18,42,61,15-9,15,9,89,75,25-11,25,11,6-3,6,3,10-4,10,4,11-7,11,7,4-4,4,4,6-4,6,4,20-3,20,3
43,Nevada,Mountain West,22-9,22,9,25-20,25,20,43,48,3-9,3,9,97,27,13-4,13,4,12-14,12,14,0-2,0,2,0-6,0,6,12-7,12,7,0-3,0,3,13-4,13,4
44,Georgia,SEC,13-17,13,17,31-25,31,25,44,22,17-6,17,6,60,151,20-13,20,13,10-10,10,10,1-2,1,2,8-15,8,15,6-4,6,4,9-5,9,5,8-1,8,1
45,Florida State,ACC,20-16,20,16,31-24,31,24,45,28,9-5,9,5,72,57,18-13,18,13,11-9,11,9,2-2,2,2,15-10,15,10,9-10,9,10,7-3,7,3,0-1,0,1
46,North Carolina,ACC,18-18,18,18,28-27,28,27,46,7,8-6,8,6,52,21,19-10,19,10,6-15,6,15,3-2,3,2,13-19,13,19,9-6,9,6,3-2,3,2,3-0,3,0
47,Baylor,Big 12,11-13,11,13,31-20,31,20,47,47,20-5,20,5,48,207,23-6,23,6,7-10,7,10,1-4,1,4,4-9,4,9,8-8,8,8,7-1,7,1,12-2,12,2
48,UC Santa Barbara,Big West,29-11,29,11,41-20,41,20,48,89,10-7,10,7,62,34,22-11,22,11,17-9,17,9,2-0,2,0,4-11,4,11,2-2,2,2,10-1,10,1,25-6,25,6
49,Central Michigan,Mid-American,31-9,31,9,41-18,41,18,49,195,8-7,8,7,36,97,16-4,16,4,23-14,23,14,2-0,2,0,3-6,3,6,3-1,3,1,6-2,6,2,29-9,29,9
50,Ball State,Mid-American,29-11,29,11,38-18,38,18,50,160,9-7,9,7,20,24,18-4,18,4,18-13,18,13,2-1,2,1,4-7,4,7,2-1,2,1,4-3,4,3,28-7,28,7
51,South Carolina Upstate,Big South,28-12,28,12,37-16,37,16,51,172,9-2,9,2,16,135,18-5,18,5,19-9,19,9,0-2,0,2,2-6,2,6,2-2,2,2,7-2,7,2,26-6,26,6
52,Pittsburgh,ACC,16-17,16,17,23-20,23,20,52,30,6-2,6,2,42,172,11-10,11,10,9-8,9,8,3-2,3,2,17-12,17,12,1-7,1,7,2-1,2,1,3-0,3,0
53,South Alabama,Sun Belt,15-9,15,9,36-22,36,22,53,93,14-11,14,11,65,70,17-7,17,7,13-13,13,13,6-2,6,2,5-3,5,3,7-6,7,6,13-4,13,4,11-9,11,9
54,UNLV,Mountain West,15-12,15,12,20-13,20,13,54,71,5-1,5,1,61,204,17-3,17,3,3-10,3,10,0-0,0,0,3-4,3,4,7-7,7,7,0-0,0,0,10-2,10,2
55,Samford,Southern,20-10,20,10,35-24,35,24,55,88,12-12,12,12,105,137,20-6,20,6,12-17,12,17,3-1,3,1,0-7,0,7,6-9,6,9,10-2,10,2,19-6,19,6
56,Maryland,Big Ten,28-16,28,16,30-18,30,18,56,103,0-0,0,0,222,12,16-4,16,4,9-8,9,8,5-6,5,6,2-4,2,4,4-5,4,5,10-5,10,5,14-4,14,4
57,Air Force,Mountain West,18-16,18,16,26-22,26,22,57,59,8-6,8,6,7,6,13-6,13,6,9-15,9,15,4-1,4,1,7-7,7,7,6-9,6,9,3-0,3,0,10-6,10,6
58,FAU,Conference USA,18-14,18,14,32-25,32,25,58,57,12-9,12,9,50,51,16-11,16,11,14-12,14,12,2-2,2,2,7-15,7,15,6-5,6,5,12-3,12,3,7-2,7,2
59,San Diego,West Coast,19-8,19,8,32-12,32,12,59,226,13-4,13,4,68,214,21-5,21,5,11-7,11,7,0-0,0,0,2-1,2,1,1-2,1,2,6-1,6,1,23-8,23,8
60,Wofford,Southern,21-9,21,9,36-21,36,21,60,141,14-10,14,10,115,192,21-6,21,6,14-12,14,12,1-3,1,3,0-1,0,1,10-9,10,9,10-2,10,2,16-9,16,9
61,Clemson,ACC,16-20,16,20,25-27,25,27,61,24,8-6,8,6,76,43,17-11,17,11,6-14,6,14,2-2,2,2,7-23,7,23,13-3,13,3,3-0,3,0,2-1,2,1
62,Oklahoma,Big 12,11-13,11,13,27-28,27,28,62,27,16-13,16,13,147,179,15-11,15,11,8-8,8,8,4-9,4,9,8-17,8,17,6-7,6,7,5-0,5,0,8-4,8,4
63,Kansas,Big 12,8-16,8,16,30-27,30,27,63,50,22-10,22,10,70,178,16-11,16,11,12-14,12,14,2-2,2,2,4-11,4,11,8-11,8,11,8-2,8,2,10-3,10,3
64,Mercer,Southern,18-9,18,9,35-22,35,22,64,106,17-11,17,11,82,133,21-8,21,8,14-12,14,12,0-2,0,2,0-5,0,5,9-10,9,10,11-0,11,0,15-7,15,7
65,Virginia Tech,ACC,16-20,16,20,27-25,27,25,65,34,11-3,11,3,45,144,17-13,17,13,10-10,10,10,0-2,0,2,8-21,8,21,7-2,7,2,4-2,4,2,8-0,8,0
66,Kentucky,SEC,12-18,12,18,29-23,29,23,66,37,17-4,17,4,81,209,22-13,22,13,7-9,7,9,0-1,0,1,8-20,8,20,1-1,1,1,6-2,6,2,14-0,14,0
67,UNCW,Colonial Athletic,13-8,13,8,32-22,32,22,67,65,17-12,17,12,56,40,27-9,27,9,5-13,5,13,0-0,0,0,6-10,6,10,6-4,6,4,4-3,4,3,16-5,16,5
