Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
1,Arkansas,SEC,20-10,20,10,50-15,50,15,5,23-2,23,2,10,115,37-4,37,4,8-7,8,7,5-4,5,4,17-12,17,12,5-2,5,2,6-0,6,0,22-1,22,1
2,Coastal Carolina,Sun Belt,26-4,26,4,56-13,56,13,43,18-7,18,7,3,4,27-3,27,3,20-7,20,7,9-3,9,3,12-8,12,8,8-3,8,3,22-1,22,1,14-1,14,1
3,Vanderbilt,SEC,19-11,19,11,43-18,43,18,2,20-5,20,5,22,80,29-7,29,7,10-9,10,9,4-2,4,2,18-13,18,13,11-3,11,3,4-1,4,1,10-1,10,1
4,LSU,SEC,19-11,19,11,53-15,53,15,22,23-2,23,2,14,124,35-6,35,6,8-8,8,8,10-1,10,1,19-11,19,11,10-1,10,1,3-1,3,1,21-2,21,2
5,Auburn,SEC,17-13,17,13,41-20,41,20,1,21-4,21,4,6,33,28-8,28,8,7-11,7,11,6-1,6,1,16-14,16,14,5-2,5,2,11-1,11,1,9-3,9,3
6,Texas,SEC,22-8,22,8,44-14,44,14,17,20-3,20,3,33,152,28-7,28,7,11-5,11,5,5-2,5,2,17-13,17,13,8-0,8,0,8-0,8,0,11-1,11,1
7,Georgia,SEC,18-12,18,12,43-17,43,17,7,24-2,24,2,2,78,30-6,30,6,10-10,10,10,3-1,3,1,13-12,13,12,6-5,6,5,11-0,11,0,13-0,13,0
8,Oregon State,Independent,0-0,0,0,48-16-1,48,16,27,41-12-1,41,12,4,24,23-4,23,4,13-7,13,7,12-5-1,12,5,13-14-0,13,14,13-0-1,13,0,6-2-0,6,2,16-0-0,16,0
9,North Carolina,ACC,18-11,18,11,46-15,46,15,21,21-1,21,1,1,67,29-9,29,9,12-6,12,6,5-0,5,0,14-8,14,8,15-5,15,5,7-2,7,2,10-0,10,0
10,UCLA,Big Ten,22-8,22,8,48-18,48,18,14,17-7,17,7,18,6,31-7,31,7,11-8,11,8,6-3,6,3,6-9,6,9,16-2,16,2,17-5,17,5,9-2,9,2
11,Florida State,ACC,17-10,17,10,42-16,42,16,20,20-3,20,3,8,66,27-7,27,7,13-8,13,8,2-1,2,1,14-12,14,12,6-3,6,3,6-1,6,1,16-0,16,0
12,Ole Miss,SEC,16-14,16,14,43-21,43,21,3,21-4,21,4,9,47,28-10,28,10,9-8,9,8,6-3,6,3,20-15,20,15,2-2,2,2,13-3,13,3,8-1,8,1
13,Clemson,ACC,18-12,18,12,45-18,45,18,19,23-3,23,3,7,88,27-9,27,9,10-7,10,7,8-2,8,2,10-10,10,10,14-7,14,7,8-1,8,1,13-0,13,0
14,Tennessee,SEC,16-14,16,14,46-19,46,19,11,25-1,25,1,13,179,32-10,32,10,9-8,9,8,5-1,5,1,14-13,14,13,9-6,9,6,4-0,4,0,19-0,19,0
15,Alabama,SEC,16-14,16,14,41-18,41,18,26,24-1,24,1,5,147,25-7,25,7,11-9,11,9,5-2,5,2,17-15,17,15,3-2,3,2,4-0,4,0,17-1,17,1
16,TCU,Big 12,19-11,19,11,39-20,39,20,24,18-6,18,6,12,14,22-7,22,7,14-9,14,9,3-4,3,4,5-10,5,10,15-7,15,7,12-3,12,3,7-0,7,0
17,Florida,SEC,15-15,15,15,39-22,39,22,4,22-4,22,4,15,71,26-10,26,10,11-8,11,8,2-4,2,4,11-17,11,17,8-4,8,4,3-1,3,1,17-0,17,0
18,UTSA,American Athletic,23-4,23,4,47-15,47,15,91,19-7,19,7,35,95,25-2,25,2,19-11,19,11,3-2,3,2,8-6,8,6,7-2,7,2,10-5,10,5,22-2,22,2
