Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_bonus,pred_slot,class_ord,total_college_seasons,eligibility_basis
1,Early,Liam Doyle,99.9,0.35888076,3009360.0,4113727.0,3.0,3,seasons
2,Early,Andrew Fischer,99.8,0.8837056,3337516.0,3057712.0,3.0,3,seasons
3,Early,Pico Kohn,100.0,10.223214,1577344.0,1760591.0,3.0,3,seasons
4,Early,Anthony Eyanson,99.9,12.746931,3123738.0,2293749.0,3.0,3,seasons
5,Early,Devin Taylor,100.0,13.344486,1969613.0,2192584.0,3.0,3,seasons
6,Early,Kyson Witherspoon,99.9,13.772397,1597362.0,1514845.0,3.0,2,class
7,Early,Jamie Arnold,99.9,14.354003,2071978.0,2325388.0,3.0,3,seasons
8,Early,Ike Irish,99.8,14.826364,3976760.0,4571834.0,3.0,3,seasons
9,Early,JD Thompson,99.9,15.392907,2268613.0,1763823.0,3.0,3,seasons
10,Early,Zach Root,100.0,17.218792,2194586.0,2094110.0,3.0,3,seasons
11,Early,Wehiwa Aloy,99.9,19.334581,2504150.0,2085672.0,3.0,3,seasons
12,Early,Alex Lodise,99.9,20.69837,1540217.0,1657127.0,3.0,3,seasons
13,Early,Aiva Arquette,99.6,30.421896,3066412.0,2244800.0,2.0,3,seasons
14,Early,Gavin Kilen,99.9,31.899971,1903243.0,2515057.0,3.0,3,seasons
15,Early,Ben Jacobs,97.4,36.292286,1211581.0,874292.0,2.0,3,seasons
16,Early,Cam Cannarella,99.1,37.136154,720282.0,783884.0,3.0,3,seasons
17,Early,Cade Obermueller,99.9,38.901886,895427.0,876520.0,3.0,3,seasons
18,Early,Justin Lamkin,99.9,41.973648,615907.0,1041574.0,3.0,3,seasons
19,Early,Jace Laviolette,98.6,46.015793,956765.0,1262749.0,3.0,3,seasons
20,Early,Patrick Forbes,99.1,50.18594,1975868.0,1361673.0,3.0,3,seasons
21,Early,Mitch Voit,99.9,50.744987,982000.0,1108940.0,3.0,3,seasons
22,Early,Jared Jones,99.6,52.369003,1386003.0,1310559.0,3.0,3,seasons
23,Early,Cody Bowker,99.5,52.91051,1001005.0,1005293.0,3.0,3,seasons
24,Early,Joey Volini,98.1,54.613106,882494.0,829694.0,2.0,3,seasons
25,Early,JB Middleton,99.9,56.22108,825064.0,875892.0,3.0,3,seasons
26,Early,Mason Neville,99.4,57.21943,2026542.0,1614071.0,3.0,3,seasons
27,Early,Gavin Turley,99.8,57.972168,2393642.0,2080756.0,3.0,3,seasons
28,Early,Aaron Walton,100.0,60.07172,1047598.0,1528693.0,3.0,3,seasons
29,Early,Ethan Hedges,99.6,60.18714,862685.0,1132942.0,3.0,3,seasons
30,Early,Dominic Fritton,100.0,60.421303,765991.0,727520.0,3.0,3,seasons
31,Early,Marek Houston,99.9,65.82382,736130.0,989451.0,3.0,3,seasons
32,Early,Kane Kepley,99.4,66.93932,756672.0,947711.0,2.0,3,seasons
33,Early,Tyler Bremner,99.1,73.809265,781060.0,1247023.0,3.0,3,seasons
34,Early,Owen Proksch,99.9,74.91481,466465.0,501805.0,3.0,3,seasons
35,Early,Max Williams,99.2,76.01716,503957.0,767669.0,3.0,3,seasons
