Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Pablo Rodriguez","YALE",21,1,0,0,0,1,1,3,4,2,2.64285714,1,0,1.2495329017332961,1.1084965849808623,1.6232097148895264,885.9653531130192,"Pablo Rodriguez","sa3076157",
"Sotaro Ishida","MILW",23,1,0,0,0,1,1,2,3,1,0.14285714,1,0,1.0707499975638588,0.9137748772578439,1.246746301651001,682.1144621367298,"Sotaro Ishida","sa3070411",
"Ty Householder","MRSH",,6,0.333333333,0,2,1,1,3,4,2,2.64285714,1,-0.016584061086177826,4.78374496088968,3.8008272050474714,1.0540781021118164,486.6882231454603,"Ty Householder","sa3070372",
"Jimmy Gilleran","STO",22,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.007288001943379641,0.8387418397308541,0.6623832591415597,0.9848243594169617,475.58890354426484,"Jimmy Gilleran","sa3032234",
"James Rivera","MVSU",,1,0,0,0,1,1,1,2,0,0.14285714,1,0.0015797480009496212,0.7976943934025507,0.6267237746777277,0.9900045990943909,466.5681152423264,"James Rivera","sa3065601",
"Anthony Russell","HCU",,1,0,0,0,1,1,1,2,0,2.64285714,1,-0.003979308996349573,0.6874256487112986,0.5326339955550181,0.9516198635101318,444.0973622894647,"Anthony Russell","sa3075993",
"Nick Cicale","ARMY",,2,0.5,0,1,1,1,1,2,0,2.64285714,1,-0.010357527062296867,1.274061914102259,0.9778106171051888,0.8920965194702148,430.06121053871993,"Nick Cicale","sa3075632",
"Brandon Schultz","EIU",,1,0,0,0,1,1,1,2,0,2.64285714,1,-0.003147612791508436,0.725789147926766,0.5558130476011816,0.9488683342933655,426.99482252889516,"Brandon Schultz","sa3074816",
"Brooks Ward","AFA",20,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.0007005584193393588,0.7541952575957085,0.575725346378019,0.9474337697029114,422.58958524150063,"Brooks Ward","sa3060869",
"Justin Ford","HALL",,3,0.333333333,0.333333333,1,0.5,0.666666666,2,2.666666666,1.5,0.14285714,0,-0.004054657183587551,1.902047301429415,1.4514872830091954,0.889843761920929,422.1518163325915,"Justin Ford","sa3031544",
"Jackson Illingworth","ARST",23,2,0,0.5,0,0.5,0.5,2,2.5,1.5,0.14285714,0,0,1.3695221986876394,1.0418829467402364,0.9344567656517029,417.9969861814644,"Jackson Illingworth","sa3076355",
"Gio Lonero","UNA",,2,0.5,0,1,1,1,1,2,0,2.64285714,1,-0.007403430994600058,1.2712249178591328,0.9639479834738331,0.8788657784461975,413.7065869920202,"Gio Lonero","sa3076073",
"Parker Corbin","MD",20,1,0,0,0,1,1,1,2,0,2.64285714,1,-0.004308424890041351,0.6863311980313564,0.5170750473088528,0.9367722272872925,405.4985269968712,"Parker Corbin","sa3058928",
"Tyler Johnson","NICH",,2,0.5,0,1,1,1,1,2,0,2.64285714,1,-0.007958617992699146,1.2198512712294218,0.9102679649168607,0.8669683039188385,394.03005470774235,"Tyler Johnson","sa3059616",
"Rohan Putz","KSU",21,2,0,0,0,1,1,1,2,0,7.5,1,0.382884718477726,1.4216615083907078,1.0597085777018498,0.9346684217453003,392.7752444730987,"Rohan Putz","sa3060319",
"Bret Clements","APP",21,2,0,0,0,1,1,1,2,0,5,1,-0.5616228692233562,1.2659701198364859,0.9383308678890829,0.8794178068637848,386.39146937123286,"Bret Clements","sa3066828",
"Jayden Adams","PRES",,4,0,0.25,0,0.75,0.75,1.25,2,0.5,4.10119047125,1,-0.0015629577683284879,2.542769582306377,1.8843098593106193,0.8715071976184845,386.16934240680325,"Jayden Adams","sa3076245",
"Reinaldo Plascencia","BCU",22,2,1,0,2,0,1,0,1,0,2.64285714,0,0.0031594960018992424,1.2853887601759992,0.9434475227263533,0.8442894816398621,375.90925556771566,"Reinaldo Plascencia","sa3060279",
"Camden Farmer","MVSU",,1,1,0,1,0,1,0,1,0,0.14285714,0,0.0015797480009496212,0.6426943800879996,0.4717237613631767,0.8442894816398621,375.90925556771566,"Camden Farmer","sa3070060",
"Henry McDonald","STAN",20,6,0.333333333,0,2,0.75,0.833333333,1.75,2.583333333,1,1.08035714,0.666666666,-0.02596177440136671,4.218034398310662,3.0800119159154895,0.9290539423624674,370.6459638154998,"Henry McDonald","sa3059968",
"Jack Forgues","UML",,5,0,0,0,0.75,0.8,1,1.8,0.25,7.5,0.75,0.18218497186899185,2.819709611490625,2.04594640190925,0.8148069024085999,364.41505315510636,"Jack Forgues","sa3074746",
"Al Nsah","CSUB",,1,1,0,1,0,1,0,1,0,7.5,0,0.20249993191100657,0.49787271124789667,0.3597394387192483,0.7780553102493286,360.4292449848674,"Al Nsah","sa3075010",
"David Rossow","CAM",23,1,1,0,1,0,1,0,1,0,0.14285714,0,-0.008522802032530308,0.5572797827977616,0.39800986876673283,0.7996833324432373,349.89645482523025,"David Rossow","sa3041190",701455
"Diego Alana","LAM",,1,1,0,1,0,1,0,1,0,0.14285714,0,-0.003979308996349573,0.5324256225181231,0.37763396936184257,0.7823167443275452,343.96274712602,"Diego Alana","sa3058470",
"Kaine Baber","CIT",,4,0.5,0,2,1,1,1,2,0,1.60119047125,1,-0.02925700880587101,2.4129232320309546,1.6918856057644749,0.8304550647735596,334.645952462291,"Kaine Baber","sa3074708",
"Owen Pincince","SIE",,7,0.285714285,0,2,0.6,0.714285714,1,1.714285714,0.4,0.76785714,0.6,-0.01911561330780387,3.502748633347384,2.4421483823879875,0.7399536115782601,330.26096591801405,"Owen Pincince","sa3060271",
"Easton Beach","USF",19,1,1,0,1,0,1,0,1,0,2.64285714,0,-0.007060003466904163,0.5410497294038856,0.37447489362660297,0.7883763313293457,324.8088025296276,"Easton Beach","sa3075494",
"Kealo Smith","VMI",,1,1,0,1,0,1,0,1,0,7.5,0,0.1926857507787645,0.5582308016262814,0.37797139505966143,0.7842206358909607,309.6819257640081,"Kealo Smith","sa3071317",
"Jack Messmore","YSU",22,12,0.083333333,0.166666666,0.5,0.5,0.583333333,1.2,1.783333333,0.7,0.14285714,0.5,0.002738900948315859,5.801491036367048,3.9177895926948683,0.6865250021219254,307.98357435334003,"Jack Messmore","sa3037921",
"Jack McWilliams","COLU",,11,0.09090909,0.272727272,0.333333333,0.5,0.545454545,1.1,1.645454545,0.6,2.64285714,0.6,-0.029146723449230194,4.770284473152825,3.2188849888760536,0.6935407194224271,307.48266461984974,"Jack McWilliams","sa3060004",
"Calvin Cook","MTSU",20,4,0,0,0,0.666666666,0.666666666,1,1.666666666,0.333333334,7.5,0.666666666,0.19546632980927825,2.019763850890511,1.3544583556283651,0.7386933366457621,303.58442328733156,"Calvin Cook","sa3075338",
