Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Mason Edwards","USC",20,8,0,2.0696864661688315,17,17,0,0,0,95.2,396,54,26,22,3,47,5,9,1,169,"Mason Edwards","sa3030819",821973
"Ethan Lund","OKST",20,5,3,5.335968218536732,17,16,1,0,0,84.1,370,66,52,50,11,53,2,11,0,137,"Ethan Lund","sa3059870",
"Dylan Volantis","TEX",20,10,2,2.0842105263157893,17,16,0,0,0,95,395,67,28,22,3,28,11,13,0,135,"Dylan Volantis","sa3060847",
"Tomas Valincius","MSST",20,11,2,3.5017065758221877,17,17,0,0,0,97.2,400,85,46,38,15,20,6,3,0,134,"Tomas Valincius","sa3060815",
"Cole Carlon","ASU",21,5,2,3.872510077868156,16,16,0,0,0,83.2,350,69,37,36,14,31,4,3,1,133,"Cole Carlon","sa3028440",814817
"Jackson Flora","UCSB",21,12,0,1.0588235294117647,16,16,2,2,0,102,399,55,14,12,3,32,8,5,0,133,"Jackson Flora","sa3031459",814176
"Hunter Dietz","ARK",21,7,4,3.5719845418368847,16,16,1,0,0,85.2,362,71,40,34,10,31,7,9,0,131,"Hunter Dietz","sa3030307",806059
"Ethan Norby","ECU",21,7,3,4.084870733708153,18,14,0,0,1,90.1,412,91,48,41,10,28,21,3,2,131,"Ethan Norby","sa3038921",825275
"Tyler Fay","ALA",22,11,5,4.541284403669724,18,18,1,1,0,109,447,91,56,55,21,26,16,0,1,127,"Tyler Fay","sa3031198",823789
"Evan Dempsey","FGCU",20,7,2,3.146616631604435,15,15,2,2,0,88.2,369,68,32,31,4,26,11,3,0,126,"Evan Dempsey","sa3030134",805632
"Will Sanford","ORE",20,9,2,3.7351777529757126,17,17,0,0,0,84.1,368,57,38,35,10,46,13,13,1,126,"Will Sanford","sa3060484",
"Wes Mendes","FSU",21,9,3,2.806451612903226,16,16,2,1,0,93,383,70,35,29,6,25,9,5,1,125,"Wes Mendes","sa3037853",803544
"Eric Nachtsheim","MCN",22,8,3,3.6,19,8,1,0,3,85,387,72,37,34,13,21,5,2,0,125,"Eric Nachtsheim","sa3060119",840033
"Will Holmes","CIT",,7,4,4.370503717065817,17,17,0,0,0,92.2,395,64,50,45,7,53,12,10,0,120,"Will Holmes","sa3034015",
"Ruger Riojas","TEX",22,6,2,3.9673470623202287,17,17,1,1,0,81.2,338,73,36,36,7,21,4,2,0,120,"Ruger Riojas","sa3040781",823162
"Dominic Voegele","KU",21,6,4,5.845360824742268,17,17,1,0,0,97,432,101,68,63,16,35,6,5,0,120,"Dominic Voegele","sa3044541",814113
"Joey Volchko","UGA",21,11,2,3.6818180836012493,18,18,1,0,0,95.1,410,82,46,39,8,46,9,8,1,119,"Joey Volchko","sa3044554",811285
"Carson Jasa","NEB",21,10,2,3.59315599777036,16,16,2,0,0,87.2,383,66,39,35,4,47,13,9,0,117,"Carson Jasa","sa3059584",814215
"Andrew Herrmann","UL",24,7,5,4.69207306159245,20,18,4,1,0,109.1,466,92,63,57,21,36,20,7,2,116,"Andrew Herrmann","sa3033711",
"Isaiah Magdaleno","HAW",21,7,5,2.3601397971802878,15,15,2,2,0,95.1,382,57,28,25,3,31,11,2,0,116,"Isaiah Magdaleno","sa3036845",
"Jack Radel","ND",21,8,3,3.285171197961472,15,15,2,1,0,87.2,357,68,36,32,8,22,2,3,0,116,"Jack Radel","sa3040377",806481
"Chris Levonas","WAKE",20,10,3,2.8227271748377305,15,15,0,1,0,73.1,298,44,25,23,7,33,7,4,0,116,"Chris Levonas","sa3066386",
"Nathan Taylor","CIN",21,7,3,3.6,16,16,0,0,0,90,385,80,47,36,10,27,6,5,0,115,"Nathan Taylor","sa3043582",824720
"Caden Glauber","UNC",18,12,0,2.0543478260869565,30,3,0,0,5,92,374,60,24,21,8,42,5,3,2,114,"Caden Glauber","sa3070172",
"Ben Blair","LIB",21,7,5,3.5300352405228566,16,16,0,0,0,94.1,391,80,41,37,8,17,11,5,0,113,"Ben Blair","sa3027209",835278
"Andreas Alvarez","AUB",20,10,4,3.8117647058823527,16,16,1,0,0,85,363,78,46,36,11,31,6,9,1,113,"Andreas Alvarez","sa3062805",
"Maxx Yehl","WVU",22,9,3,2.134020618556701,18,18,1,0,0,97,402,78,33,23,7,26,19,5,0,112,"Maxx Yehl","sa3045700",805258
"Hunter Elliott","MISS",23,5,3,5.4,17,17,0,0,0,85,391,86,54,51,15,46,16,5,1,111,"Hunter Elliott","sa3030887",695545
"Liam Peterson","FLA",21,3,6,4.58893266794159,16,16,1,0,0,84.1,368,84,47,43,11,36,1,4,0,111,"Liam Peterson","sa3039785",805794
"Charlie West","CONN",20,6,6,4.225190716657836,15,15,0,0,0,87.1,390,87,48,41,9,37,11,11,1,111,"Charlie West","sa3045028",837547
"Michael Malki","CBU",20,11,0,3.12,18,15,1,0,0,75,329,66,29,26,6,37,6,12,1,111,"Michael Malki","sa3059901",
"Caden Aoki","UGA",23,9,2,4.0813953488372094,20,9,1,0,3,86,371,86,41,39,14,27,4,7,0,110,"Caden Aoki","sa3026126",802610
"Karsten Sweum","GONZ",20,8,2,4.690678117741669,15,15,1,1,0,78.2,347,69,45,41,8,36,7,7,0,110,"Karsten Sweum","sa3066031",
"Chansen Cole","WVU",20,10,2,3.431438214648147,21,19,1,0,0,99.2,420,86,42,38,11,32,10,6,0,109,"Chansen Cole","sa3069817",
"Chris Olivier","LAM",,7,4,2.776595744680851,16,16,1,1,0,94,386,61,32,29,9,38,8,2,0,108,"Chris Olivier","sa3039115",
"Jake Marciano","AUB",20,5,6,3.323077020588714,17,17,0,0,0,86.2,359,76,37,32,15,17,10,2,0,108,"Jake Marciano","sa3059912",
"Grayden Harris","USM",19,8,1,4.019083852430625,17,17,0,0,0,87.1,373,92,44,39,5,19,10,3,1,107,"Grayden Harris","sa3059418",
"Duke Stone","MSST",20,7,3,5.309623600456959,18,15,0,0,0,79.2,360,88,50,47,14,29,9,6,0,107,"Duke Stone","sa3066555",
"Gage Peterson","APP",21,8,1,3.2823529411764705,15,15,0,0,0,85,364,60,40,31,4,39,11,12,0,107,"Gage Peterson","sa3070998",814119
"Jaxon Jelkin","UK",23,8,3,4.082474226804123,17,15,2,0,1,97,403,90,53,44,15,21,8,5,0,106,"Jaxon Jelkin","sa3034629",801210
"Tegan Kuhns","TENN",21,5,5,3.5555555555555554,15,14,1,1,0,81,342,80,35,32,12,16,6,2,2,106,"Tegan Kuhns","sa3065818",815158
"Kurt Barr","MICH",22,5,6,4.518828596133583,16,15,1,0,0,79.2,353,68,41,40,10,45,6,8,0,105,"Kurt Barr","sa3026623",
"James Guyette","KSU",21,6,4,5.558823351216569,16,15,1,0,0,79.1,377,90,62,49,8,35,19,9,1,105,"James Guyette","sa3032890",821962
"Ryan Peterson","SHSU",22,6,5,3.375,15,15,1,1,0,88,368,77,38,33,14,23,13,2,1,105,"Ryan Peterson","sa3039799",831713
"Cayden Suchy","CONN",20,5,3,2.8208954420831183,15,15,1,0,0,89.1,366,77,33,28,5,23,4,7,0,105,"Cayden Suchy","sa3060688",
"Taylor Rabe","MISS",21,5,3,3.5526315789473686,17,11,0,0,2,76,307,63,30,30,12,15,6,2,1,105,"Taylor Rabe","sa3066446",815040
"Max Bayles","SCU",21,5,4,2.535211267605634,15,15,0,0,0,71,304,48,22,20,5,44,1,10,0,104,"Max Bayles","sa3026768",814742
"Alec Bouchard","WOF",21,9,3,2.8255813953488373,15,15,1,0,0,86,360,72,31,27,8,27,4,6,0,104,"Alec Bouchard","sa3027441",843900
"Braden Gebhardt","YSU",22,5,4,3.1946563955217786,15,15,0,0,0,87.1,377,77,42,31,7,29,8,4,0,104,"Braden Gebhardt","sa3032082",
"David Rossow","CAM",23,10,2,2.5346939564823683,16,13,1,0,0,81.2,343,63,31,23,5,22,10,9,0,104,"David Rossow","sa3041190",701455
"Steele Murdock","UCSD",21,4,3,5.22972972972973,15,15,1,0,0,74,356,70,53,43,7,46,13,10,0,104,"Steele Murdock","sa3060111",835217
"Dax Whitney","ORST",20,6,1,2,11,11,0,0,0,63,249,42,16,14,6,18,2,8,0,104,"Dax Whitney","sa3060915",
"Steven Cash","JVST",,9,2,3.0111525017593697,17,17,1,1,0,89.2,370,64,32,30,9,32,11,3,0,103,"Steven Cash","sa3028581",
"LJ Mercurius","OU",21,7,7,4.427999864868168,22,12,1,0,4,83.1,359,75,46,41,14,27,10,3,1,103,"LJ Mercurius","sa3037892",702969
"Ethan Stade","BGSU",23,3,4,4.359375,14,10,0,0,1,64,282,53,39,31,5,20,14,4,0,103,"Ethan Stade","sa3071355",840059
"Connor Fennell","VAN",21,4,2,4.957031102268961,15,15,0,0,0,85.1,358,84,49,47,17,20,8,2,2,102,"Connor Fennell","sa3031240",830729
"Josh McDevitt","MIZ",22,3,5,4.42436960607033,15,15,0,0,0,79.1,345,61,46,39,11,39,10,7,0,102,"Josh McDevitt","sa3037542",814834
"Declan Dahl","LT",21,7,4,3.5409834958378683,15,15,0,0,0,81.1,342,73,37,32,10,23,5,3,0,102,"Declan Dahl","sa3069897",842340
"Evan Blanco","TENN",22,7,4,4.651685393258427,16,16,0,0,0,89,379,80,50,46,17,29,7,0,2,101,"Evan Blanco","sa3027230",702711
"Tommy Egan","TROY",23,6,5,5.46067415730337,20,18,1,0,1,89,403,95,64,54,9,34,16,11,1,101,"Tommy Egan","sa3030832",
"Zane Adams","ALA",22,8,5,4.583025701233538,17,17,0,0,0,90.1,397,97,51,46,9,30,4,5,0,100,"Zane Adams","sa3025773",806019
"Luke Harrison","TEX",23,6,4,4.103999874755863,19,16,0,0,1,83.1,363,70,45,38,7,35,12,4,1,100,"Luke Harrison","sa3033295",801393
"Brady Kehlenbrink","MIZ",,3,10,6.417040139201206,15,15,0,0,0,74.1,325,77,59,53,13,24,4,2,2,100,"Brady Kehlenbrink","sa3059654",
"Jason DeCaro","UNC",20,11,3,2.866438281269902,19,19,2,2,0,97.1,413,85,37,31,9,42,8,8,1,99,"Jason DeCaro","sa3029991",811311
"Andrew Evans","SIU",22,7,2,2.5092937514661413,16,16,1,1,0,89.2,371,75,30,25,6,29,4,3,0,99,"Andrew Evans","sa3031058",813491
"Cole Fehrman","JOES",22,5,3,4.558441558441558,15,15,1,0,0,77,343,71,44,39,5,30,17,3,0,99,"Cole Fehrman","sa3031214",
"Tate McKee","GT",21,9,2,4.153846153846154,17,16,0,0,0,78,340,70,41,36,19,39,5,6,0,99,"Tate McKee","sa3037653",806156
"Grant Govel","USC",21,10,3,2.8741934776504645,19,18,1,0,0,103.1,405,77,35,33,14,16,5,5,0,99,"Grant Govel","sa3059333",840218
"Rob Evans","MIA",22,10,3,3.285171197961472,16,15,0,0,0,87.2,360,67,39,32,11,31,6,3,1,98,"Rob Evans","sa3031080",702658
"Matt Archibald","NAVY",,7,3,2.353846153846154,11,11,1,0,0,65,272,39,22,17,4,32,8,13,0,98,"Matt Archibald","sa3058511",
"Ryan Piech","XAV",20,8,3,3.183406007478339,14,14,0,0,0,76.1,318,56,28,27,6,31,5,2,1,98,"Ryan Piech","sa3060268",830130
"Trey Beard","FSU",21,6,1,4.5,14,12,0,0,1,68,294,61,41,34,11,24,8,8,0,97,"Trey Beard","sa3026802",804295
"Griffin Naess","CP",21,8,5,4.631386732355195,17,17,0,0,0,91.1,403,88,50,47,10,35,8,8,0,97,"Griffin Naess","sa3038661",839126
"Logan Rumberg","GMU",22,7,3,3.7058823529411766,17,15,0,0,1,85,365,67,45,35,10,39,10,8,0,97,"Logan Rumberg","sa3041297",
"Ethan Kleinschmit","ORST",21,9,2,3.74025974025974,15,15,0,0,0,77,327,63,37,32,11,27,12,5,0,97,"Ethan Kleinschmit","sa3059697",826543
"Cooper Allen","UNCW",21,8,4,2.793103448275862,15,15,2,1,0,87,343,65,30,27,6,23,8,8,0,96,"Cooper Allen","sa3025912",823983
"Trevor Hansen","UCI",21,7,4,4.940425371521471,14,14,0,0,0,78.1,349,76,53,43,3,28,9,9,0,96,"Trevor Hansen","sa3033171",814145
"Carlos Martinez","HOF",21,6,3,3.3013099336812406,13,13,1,0,0,76.1,309,63,31,28,5,27,5,11,0,96,"Carlos Martinez","sa3037141",834976
"Jackson Sanders","AUB",20,5,2,2.9431278556669027,17,7,0,0,4,70.1,291,54,27,23,8,25,8,4,0,96,"Jackson Sanders","sa3060480",
"Henry Zatkowski","UVA",19,8,2,4.570866279027332,18,12,0,0,0,84.2,362,75,52,43,9,25,10,1,0,96,"Henry Zatkowski","sa3061006",
"Dakota Stone","UNF",22,7,2,2.421524580830644,14,11,0,0,0,74.1,342,52,25,20,3,36,9,5,0,95,"Dakota Stone","sa3043168",702496
"Parker Dillhoff","UNLV",22,4,5,7.528845877689733,15,15,1,0,0,69.1,334,80,66,58,8,43,7,15,0,94,"Parker Dillhoff","sa3030336",804877
"Mikiah Negrete","CSUF",22,9,4,2.7,15,15,3,1,0,100,402,83,33,30,9,17,10,3,0,94,"Mikiah Negrete","sa3038730",800626
"Gavin Eddy","CAL",21,6,3,2.8700788263659986,14,14,0,0,0,84.2,350,72,33,27,7,21,7,4,0,94,"Gavin Eddy","sa3059112",806066
"Cord Rager","OU",19,7,3,4.7368421052631575,16,16,0,0,0,76,309,58,40,40,16,21,11,3,0,94,"Cord Rager","sa3071068",
"Darin Horn","CCU",23,8,2,3.2079206709183543,31,0,0,0,7,67.1,292,61,34,24,4,24,8,7,0,93,"Darin Horn","sa3034091",820839
"Ethan Lay","SAC",22,5,3,3.784090909090909,16,16,1,1,0,88,376,93,48,37,10,16,4,4,0,93,"Ethan Lay","sa3059771",808428
"Micah Worley","STBK",22,6,5,3.115384501112993,14,14,0,0,0,69.1,298,56,35,24,5,31,6,9,0,93,"Micah Worley","sa3060966",834412
"Jayden Lopez","JKST",22,6,4,5.97628440476114,16,14,1,0,0,84.1,381,73,61,56,12,53,10,9,0,93,"Jayden Lopez","sa3065358",
"Nick Finarelli","LIU",,9,3,5.6417908841662365,15,15,1,0,0,89.1,407,92,58,56,9,41,14,8,0,92,"Nick Finarelli","sa3031330",
"Rohan Lettow","SDSU",20,6,1,3.791489238609501,16,15,0,0,0,78.1,335,74,40,33,8,27,6,3,0,92,"Rohan Lettow","sa3036265",823007
"Alex Petrovic","AUB",22,10,2,3.2050360591815994,17,17,1,1,0,92.2,372,70,35,33,9,24,7,2,0,92,"Alex Petrovic","sa3039821",830186
"Carson Turnquist","CP",22,9,3,4.008733490898649,16,14,0,0,0,76.1,342,57,36,34,7,40,17,6,0,92,"Carson Turnquist","sa3044178",702493
"Aidan King","FLA",20,8,2,3.206896551724138,16,16,0,0,0,87,355,71,39,31,4,19,7,5,0,92,"Aidan King","sa3059682",
"Justin Mayes","TXSO",,5,4,4.209677419354839,11,11,1,0,0,62,281,63,33,29,7,26,11,6,0,92,"Justin Mayes","sa3062645",
"Dawson Montesa","WVU",20,6,5,5.376623376623376,19,15,0,0,1,77,344,66,49,46,13,44,9,6,0,92,"Dawson Montesa","sa3070804",840223
"Brady Bendik","NAVY",22,6,4,2.4244898714179173,13,13,2,1,0,81.2,354,74,31,22,2,27,8,6,0,91,"Brady Bendik","sa3026945",
"Nick DiRito","APP",23,5,2,4.628571572706933,16,12,1,0,2,81.2,358,86,43,42,7,27,9,2,0,91,"Nick DiRito","sa3030371",
"Colby Allen","USM",23,7,2,3.0542987479748875,24,5,0,0,2,73.2,312,75,30,25,6,18,2,7,1,90,"Colby Allen","sa3025911",
"PJ Craig","RID",22,9,3,3.506493593352023,16,15,2,0,0,102.2,433,90,44,40,12,42,8,7,0,90,"PJ Craig","sa3029518",
"Garrett Lambert","MER",21,5,1,4.309859154929577,15,15,0,0,0,71,313,58,39,34,6,29,14,6,4,90,"Garrett Lambert","sa3035878",812487
"Nathan Leininger","TOL",22,9,1,2.8125,15,15,1,0,0,96,401,74,33,30,6,37,10,11,1,90,"Nathan Leininger","sa3036199",
"Serigne Sarre","MSM",,4,4,4.114285714285714,14,13,0,0,0,70,318,68,37,32,5,33,8,3,0,90,"Serigne Sarre","sa3060491",
"Jack Ohman","YALE",20,5,3,5.535000211143502,13,11,0,0,1,66.2,304,67,43,41,5,30,8,8,0,90,"Jack Ohman","sa3065376",
"Noah Kenney","WASH",,4,7,4.738775657771384,15,14,0,0,0,81.2,362,74,48,43,11,37,8,4,0,90,"Noah Kenney","sa3070498",
"Carter Cox","NIU",20,6,5,5.443548554560402,18,16,0,0,1,82.2,383,92,57,50,8,31,18,4,0,89,"Carter Cox","sa3058939",
"Casan Evans","LSU",20,2,4,5.934065809688656,13,12,0,0,0,60.2,273,54,43,40,7,31,6,9,0,89,"Casan Evans","sa3059150",
"Ryan Lynch","UNC",21,5,4,4.210169382640531,19,18,1,0,0,98.1,439,102,50,46,9,36,18,9,0,89,"Ryan Lynch","sa3059876",827359
