Conference,Exponent,N,R²_Optimal,R²_1.83,RMSE_Optimal,RMSE_1.83,p_value,Sig
MVC,2.0755273470670175,46,0.9043037884861219,0.8937189811430175,0.04187438549304312,0.04412949208292361,0.1808748941871916,
OVC,1.9786080981767897,43,0.823231851396252,0.8191764242687779,0.04596264825868868,0.04648689760061491,0.62821902120726,
NEC,1.9782785990391436,41,0.8945271545000497,0.8904432867968067,0.0578797333268016,0.05898963206863255,0.5704594626032522,
Summit League,1.9713724557471624,27,0.8676767693611159,0.8635292830815027,0.055297167770096,0.05615708763904535,0.5818449383702484,
Big West,1.9240835804434546,51,0.9435887165060677,0.941880169445312,0.039802517905547244,0.04040077773529721,0.5271966810723745,
MAC,1.909550054896207,55,0.8555591826526574,0.8542740685160284,0.05076992798416591,0.05099528211581818,0.7039462050293226,
The American,1.9037061984599832,44,0.8817262538867525,0.8805877545526154,0.03985324060199463,0.04004459422977508,0.7331846724593274,
ASUN,1.864248797383455,49,0.9152041979817045,0.9149509794976406,0.03402936389127433,0.03408013551185385,0.8266814256523305,
Atlantic 10,1.8491035820545314,61,0.9284328405628294,0.928354215470585,0.03468968858125142,0.03470873873834491,0.8973733953971961,
CUSA,1.8483422965821739,53,0.8945884583100592,0.8945163524240863,0.04674065589404854,0.046756639439089455,0.9143865635324553,
Sun Belt,1.843811110590131,66,0.8813488093669983,0.8813068282467519,0.04334172908153587,0.043349395980672244,0.9381825044649181,
Horizon,1.837163332385293,32,0.9051947038363328,0.9051818808504918,0.04170705354830598,0.041709874017709876,0.9762323414774352,
MAAC,1.8355739970649996,57,0.8925366301075146,0.8925304002335285,0.05312861011786184,0.05313015008329191,0.9769586856269248,
Ivy League,1.818963683435601,33,0.8622007157331182,0.8621709721925357,0.05491108737577645,0.05491701324847245,0.9681461917752832,
Big East,1.8174145866438212,40,0.9039010934781311,0.9038670219015903,0.04421822968261198,0.04422606770770794,0.944759632192762,
MEAC,1.811079659939086,10,0.6829906327543964,0.6828319728956048,0.05311908297382089,0.05313237408257606,0.975510901842876,
America East,1.807025990451829,37,0.8049350196727886,0.8047994896295793,0.04529928446773975,0.04531501857832629,0.9340263949747438,
WAC,1.8036992541274826,46,0.8400575077448128,0.8399094274189741,0.05037485973474294,0.05039817373893635,0.9021226584168343,
WCC,1.7825319482411655,48,0.875804507437314,0.8752872479031057,0.04382990065358487,0.043921078991056815,0.7839868206301377,
Pac-12,1.781589629476099,44,0.8534910299345676,0.852733548033962,0.04097026179040314,0.04107603764070682,0.7930327538179027,
Big South,1.770346334945198,49,0.8931707687447125,0.8922194020457948,0.04167016001692533,0.04185529535635719,0.7228347838839935,
SWAC,1.744186994592286,58,0.8937123542170089,0.8920770617146891,0.05245101415868018,0.052852967501531484,0.6436208800693652,
Mountain West,1.722047818961931,36,0.7454913115617272,0.7427613916750802,0.05060199828264464,0.050872658877359186,0.7931250834178258,
SEC,1.704373360930588,72,0.8374042121161321,0.8291491797347853,0.044755414414723124,0.045877471231211324,0.35272934877680484,
CAA,1.692265510035199,53,0.9124438932430309,0.9076362915787802,0.03754251577952661,0.03855945009634996,0.33661369310928535,
ACC,1.6779092744463349,72,0.8368943452792545,0.8258075143248351,0.04049936286682694,0.04185317316094127,0.26415615508076695,
SoCon,1.6569783127563291,40,0.8229836562954687,0.8147916049741973,0.04561966854265558,0.04666333524340197,0.4713075946988665,
Big Ten,1.6303250248979502,69,0.8584757619111416,0.8477145776087155,0.04475007970494206,0.046420259780117275,0.31602721019439217,
Southland,1.5938885428524974,50,0.8559721778161463,0.8402141551205982,0.04257486015600896,0.04484346729813492,0.2159985200993555,
Big 12,1.5729140454402402,54,0.7865890539083664,0.7543886294429507,0.044265761387546426,0.047487994325317674,0.1758864671328737,
Patriot,1.452456194104937,30,0.7959114521425446,0.7428598702203797,0.04583582536611447,0.051449441852242095,0.16750756331364935,
