Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Jared Lyons","GMU",21,1,0,0,0,1,1,4,5,3,0.14285714,0,0,1.5572973899594418,1.4000000171414486,1.8377436399459839,990.0339478405474,"Jared Lyons","sa3020483",805723
"Billy Butler","URI",22,1,0,0,0,1,1,4,5,3,0.14285714,0,0,1.5572973899594418,1.4000000171414486,1.8377436399459839,990.0339478405474,"Billy Butler","sa3028156",
"Joe Vogatsky","JMU",20,1,0,0,0,1,1,2,3,1,0.14285714,1,0,0.9592593851392727,0.8110368343894939,1.283929467201233,647.1750622876826,"Joe Vogatsky","sa3044544",815143
"Joshua Larzabal","PV",,1,0,0,0,1,1,2,3,1,0.14285714,1,0,1.088143219632169,0.9155859401645862,1.269275188446045,630.5982703190404,"Joshua Larzabal","sa3036012",
"Sean Springer","CIN",21,1,0,0,0,1,1,2,3,1,0.14285714,1,0,0.9831243655534762,0.8213311186882036,1.2635139226913452,607.6423983085879,"Sean Springer","sa3042875",
"Andres Galan","CAL",18,1,0,0,0,1,1,2,3,1,2.64285714,1,0,0.964219159606387,0.8038899965318936,1.2684407234191895,601.399733595805,"Andres Galan","sa3031833",800883
"Hunter Rivera","UMBC",,2,0,0,0,1,1,1.5,2.5,0.5,0.14285714,1,-0.006426743697375059,1.7398086268615567,1.4239751178932034,1.1136013269424438,550.8625834366063,"Hunter Rivera","sa3040824",
"Ethan Suh","PEPP",,2,0.5,0,1,1,1,2,3,1,0.14285714,1,0.0010334847029298544,1.4557087619847364,1.172301282460124,1.0353958308696747,513.6451460019833,"Ethan Suh","sa3043301",
"Noah Matousek","TOL",22,2,0,0,0,1,1,2,3,1,0.14285714,1,-0.001244860584847629,1.6546515402698327,1.3244879720115472,1.0337527394294739,501.16115142522506,"Noah Matousek","sa3037310",
"Pete Panko","YSU",,1,0,0,0,1,1,1,2,0,0.14285714,1,0.0020534389186650515,0.7160488038900141,0.5656166493537669,0.956039309501648,475.99451466839105,"Pete Panko","sa3039404",
"Angel Maldonado","MVSU",,1,0,0,0,1,1,1,2,0,0.14285714,1,0.0003644342068582773,0.7881432567719547,0.615585977304372,0.9803980588912964,456.7429778701503,"Angel Maldonado","sa3036899",
"Mike Handal","FAIR",22,2,0,0.5,0,0.5,0.5,2,2.5,1.5,0.14285714,0,0,1.3378222306367926,1.0400382300016455,0.8893200755119324,449.2592710767991,"Mike Handal","sa3033125",
"JD Kaiser","GASO",,2,0,0.5,0,0.5,0.5,2,2.5,1.5,0.14285714,0,0,1.3690473923460293,1.0527669081465054,0.942542314529419,432.85863679226344,"JD Kaiser","sa3035031",
"Kyle Pruhsmeier","FRES",,1,0,0,0,1,1,1,2,0,0.14285714,1,0.0007059179479256272,0.7466648936333334,0.5737987577976859,0.9404684901237488,431.93242564479186,"Kyle Pruhsmeier","sa3040254",
"Matt Palomino","CBU",,2,0,0.5,0,0.5,0.5,2,2.5,1.5,0.14285714,0,0,1.3540788911709876,1.0368658028969855,0.908452033996582,426.86728297962355,"Matt Palomino","sa3039392",
"Nick DeNicola","HOU",,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.00012100966705475003,0.6831243765464531,0.5213311296811806,0.9381899833679199,422.22057458016167,"Nick DeNicola","sa3030144",
"Garrett Saylor","ECU",,1,0,0,0,1,1,1,2,0,2.64285714,1,-0.00012100966705475003,0.6831243765464531,0.5213311296811806,0.9381899833679199,422.22057458016167,"Garrett Saylor","sa3041629",
"Connor Larson","WOF",,1,0,0,0,1,1,1,2,0,5,1,-0.5729446175973862,0.7145803815618866,0.5425066596762055,0.9462956190109253,415.27571655399254,"Connor Larson","sa3035998",
"Justin Thorsteinson","ORST",20,1,0,0,0,1,1,1,2,0,0.14285714,1,-0.0030342701356858015,0.6642191273048683,0.5038899642303749,0.9362941980361938,414.28465948908723,"Justin Thorsteinson","sa3043804",
"Caleb Lorbecki","MILW",,5,0.2,0.2,1,0.5,0.8,2,2.8,1.5,0.14285714,0,0.006160316755995154,3.0863626168751592,2.334201844193923,0.8526366353034973,410.33283427865643,"Caleb Lorbecki","sa3036562",
"Albert Hernandez","USF",,2,0.5,0,1,1,1,1,2,0,2.64285714,1,-0.00024201933410950005,1.2112487129685405,0.8876622192379954,0.8541479408740997,374.3199226285273,"Albert Hernandez","sa3033667",
"Andrew Meadows","ALCN",,1,1,0,1,0,1,0,1,0,2.64285714,0,0.0003644342068582773,0.6331432697708799,0.4605859903032971,0.8311448693275452,366.91773985103,"Andrew Meadows","sa3037767",
"Garrett Riley","GRAM",,1,1,0,1,0,1,0,1,0,0.14285714,0,0.0003644342068582773,0.6331432697708799,0.4605859903032971,0.8311448693275452,366.91773985103,"Garrett Riley","sa3040763",
"Jamis DeKay","YALE",,2,0.5,0,1,0,1,0,1,0,2.64285714,0,-0.004921043757349253,1.1534047177993756,0.8354327729904157,0.8004361391067505,362.73788824116235,"Jamis DeKay","sa3030042",
"Max Bowman","AKR",,1,1,0,1,0,1,0,1,0,0.14285714,0,-0.001244860584847629,0.5873257411828421,0.4222439570536994,0.7965864539146423,355.77864891706025,"Max Bowman","sa3027493",
"Blake Reed","OHIO",,1,1,0,1,0,1,0,1,0,2.64285714,0,-0.001244860584847629,0.5873257411828421,0.4222439570536994,0.7965864539146423,355.77864891706025,"Blake Reed","sa3040527",
"Evan Sines","EMU",20,1,1,0,1,0,1,0,1,0,0.14285714,0,-0.001244860584847629,0.5873257411828421,0.4222439570536994,0.7965864539146423,355.77864891706025,"Evan Sines","sa3042351",
"Ryan Taurek","SMC",,1,1,0,1,0,1,0,1,0,0.14285714,0,0.0010334847029298544,0.5003543753162133,0.3586506355539071,0.7726112008094788,353.09892043463884,"Ryan Taurek","sa3043533",
"Zac Common","BELL",,1,1,0,1,0,1,0,1,0,0.14285714,0,-0.002962073078379035,0.5288448558232037,0.37759541729895746,0.7841408252716064,349.65078943974174,"Zac Common","sa3029227",
"Zach Peters","AFA",,1,1,0,1,0,1,0,1,0,0.14285714,0,0.0007059179479256272,0.5916649229291032,0.41879878709345564,0.7906724214553833,342.26768595766407,"Zach Peters","sa3039809",
"Garrison Bennett","MIZ",,2,0.5,0,1,1,1,1,2,0,2.64285714,1,-0.012260518968105316,1.1639336882454594,0.8153784511906347,0.8343741595745087,333.930913814496,"Garrison Bennett","sa3026969",
"Jeffrey Zeigler","CIT",,1,1,0,1,0,1,0,1,0,0.14285714,0,-0.002931332914158702,0.5595804045065076,0.3875066826208264,0.7852344512939453,325.19805951443897,"Jeffrey Zeigler","sa3045832",
"Ben Petrone","LAF",19,6,0,0.333333333,0,0.666666666,0.666666666,0.833333333,1.499999999,0.166666667,2.64285714,1,-0.016259226948022842,2.7569378468643486,1.8929460200916588,0.704589307308197,319.09304711393753,"Ben Petrone","sa3039823",
"Luis Tuero","ARIZ",,1,1,0,1,0,1,0,1,0,0.14285714,0,-0.0030342701356858015,0.5092191052321637,0.3488899421576704,0.7646851539611816,317.6085345094493,"Luis Tuero","sa3044128",
