Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Nic Adamo","BUCK",19,2,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Nic Adamo","sa3025744",
"Kyle Antos","BRAD",22,2,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Kyle Antos","sa3026122",
"Gannon Azios","TAR",,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Gannon Azios","sa3026345",
"Pablo Barquero","GAST",,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Pablo Barquero","sa3026618",
"Matthew Beck","LSU",,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Matthew Beck","sa3026836",
"Matt Bridges","ECU",23,30,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"Matt Bridges","sa3027681",
"Owen Christy","IONA",,4,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"Owen Christy","sa3028897",
"Zac Corbin","KENN",20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Zac Corbin","sa3029370",
"Chandler Fitzgerald","DSU",,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Chandler Fitzgerald","sa3031399",
"Dalton Freeman","MEM",,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Dalton Freeman","sa3031684",
"Aidan Healy","VCU",,4,1,3,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,"Aidan Healy","sa3033481",
"Ethan Hibbard","FAIR",,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Ethan Hibbard","sa3033757",
"Trey Horton","GAST",,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Trey Horton","sa3034113",
"Matt Keane","VMI",,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Matt Keane","sa3035136",
"Matt Keller","MCN",,3,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,"Matt Keller","sa3035190",
"Collin McCarthy","LMU",,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Collin McCarthy","sa3037444",
