Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Austin Matsoff","ALCN",,0.1,26.99999919533732,80.99999758601196,0.33333333,0,0.1,0.3,-0.2,0.57142857,20.999999374151248,0.66666667,0,161.99999517202392,26.29293350577356,135.70706166625035,"Austin Matsoff","sa3037312",
"Johan Franco","GTWN",19,0.1,0,80.99999758601196,0,0,0,0.3,-0.3,0.75,17.99999946355821,0.75,0.22222222,188.99999436736124,57.759894859790855,131.2400995075704,"Johan Franco","sa3031630",
"Zeph Hoffpauir","UNO",,0.1,26.99999919533732,134.9999959766866,0.2,26.99999919533732,0.09090909,0.45454545,-0.36363636,0.8,26.99999919533732,1,0.34883721,188.99999436736124,91.05036304593094,97.9496313214303,"Zeph Hoffpauir","sa3033924",
"Tanner Morgan","USI",,0.1,0,53.99999839067464,0,0,0,0.22222222,-0.22222222,0.85714286,23.999999284744284,0.85714286,0.5,107.99999678134928,22.1745211005211,85.82547568082818,"Tanner Morgan","sa3038369",
"Preston Davis","LR",,0.1,0,107.99999678134928,0,0,0,0.5,-0.5,0.66666667,17.99999946355821,0.66666667,0.28571429,134.9999959766866,49.17452029585843,85.82547568082816,"Preston Davis","sa3029930",
"Alex Casarella","FOR",,0.1,0,53.99999839067464,0,0,0,0.4,-0.4,0.66666667,11.999999642372142,0.66666667,0,107.99999678134928,22.36967767477037,85.63031910657891,"Alex Casarella","sa3028562",
"Jack Wentworth","HALL",22,0.1,26.99999919533732,107.99999678134928,0.25,0,0.11111111,0.44444444,-0.33333333,0.33333333,14.999999552965177,0.5,0,134.9999959766866,51.75989503860478,83.24010093808181,"Jack Wentworth","sa3045003",
"Dylan Smith","UNCG",,0.1,26.99999919533732,53.99999839067464,0.5,0,0.16666667,0.33333333,-0.16666667,0.66666667,11.999999642372142,1,0.2,107.99999678134928,25.268258613348024,82.73173816800126,"Dylan Smith","sa3042541",
"Colton Sundloff","USD",21,0.2,13.49999959766866,26.99999919533732,0.5,0,0.1,0.2,-0.1,0.66666667,8.999999731779106,0.8,0.125,94.49999718368062,19.251513224840178,75.24848395884044,"Colton Sundloff","sa3043334",
"Jacob Gholston","OU",19,0.1,0,107.99999678134928,0,0,0,0.8,-0.8,0,11.999999642372142,0,0,107.99999678134928,39.85722930431369,68.14276747703559,"Jacob Gholston","sa3032161",
