Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Michael Hovermill","AAMU",,29,8.379310344827585,5.896551724137931,1.42105263,0.9310344827586207,0.15697674,0.11046512,0.04651163,0.37837838,2.586206896551724,0.44915254,0.29023747,16.137931034482758,7.311649710556557,8.826281323926201,"Michael Hovermill","sa3034154",
"Hunter Stallings","MVSU",,24.1,9.986301108940305,6.65753407262687,1.5,0.7397260080696522,0.19708029,0.13138686,0.06569343,0.3963964,2.54794513890658,0.51219512,0.41666667,13.31506814525374,7.400926936037392,5.914141209216348,"Hunter Stallings","sa3042911",
"Logan Bowen","BEL",,42.2,4.851562355412175,3.5859373931307377,1.35294118,0.42187498742714563,0.1127451,0.08333333,0.02941177,0.32065217,1.7812499469146148,0.35849057,0.47244094,8.437499748542912,4.9727722842246305,3.4647274643182815,"Logan Bowen","sa3027472",
"Krew Bouldin","DSU",20,37,4.864864864864865,4.135135135135135,1.17647059,1.4594594594594594,0.10204082,0.08673469,0.01530612,0.35632184,2.135135135135135,0.37837838,0.37037037,10.945945945945946,7.521298367268331,3.4246475786776145,"Krew Bouldin","sa3027449",
"Connor Schultz","BUT",,46.1,10.294964311310592,2.1366907061210663,4.81818182,0.3884892192947393,0.24651163,0.05116279,0.19534884,0.28855721,1.4892086739631674,0.38356164,0.53468208,6.215827508715829,2.861433012155659,3.3543944965601695,"Connor Schultz","sa3041805",
"Riley Egloff","UNM",,34,8.205882352941176,2.6470588235294117,3.1,1.3235294117647058,0.18562874,0.05988024,0.1257485,0.37419355,2,0.44537815,0.55555556,9,5.653652718487908,3.3463472815120916,"Riley Egloff","sa3030838",
"Eli Saul","SAC",19,50,6.84,3.78,1.80952381,0.9,0.15510204,0.08571429,0.06938776,0.35,1.96,0.40677966,0.49473684,8.82,5.5628742980957036,3.2571257019042967,"Eli Saul","sa3020471",683272
"Matthew Dubois","SPU",,29,9.310344827586206,3.413793103448276,2.72727273,1.2413793103448276,0.20979021,0.07692308,0.13286713,0.33076923,1.8620689655172413,0.40625,0.51587302,8.689655172413794,5.447432314116379,3.2422228582974144,"Matthew Dubois","sa3030591",
"Sam Benschoter","MSU",,69.1,10.254807316163602,4.15384600148399,2.46875,0.5192307501854988,0.24012158,0.09726444,0.14285714,0.29929577,1.6874999381028712,0.40298507,0.56270096,7.399038190143358,4.229395638309288,3.1696425518340696,"Sam Benschoter","sa3026985",
"Trever Kilcrease","NICH",,56.1,6.710059323058254,4.7928995164701815,1.4,0.9585799032940363,0.14840989,0.10600707,0.04240283,0.324,1.9704142456599636,0.37128713,0.52083333,8.627219129646328,5.520316436607036,3.1069026930392916,"Trever Kilcrease","sa3035352",
