Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Kade Anderson","LSU",20,12,1,3.176470588235294,19,19,2,2,0,119,481,91,44,42,16,35,5,5,0,180,"Kade Anderson","sa3026056",807739
"Liam Doyle","TENN",21,10,4,3.198606356806376,19,17,0,0,1,95.2,385,63,37,34,10,32,10,5,0,164,"Liam Doyle","sa3030545",824604
"Anthony Eyanson","LSU",20,12,2,3,20,18,1,0,2,108,448,88,39,36,8,36,5,10,0,152,"Anthony Eyanson","sa3031104",809254
"Blake Gillespie","CLT",21,7,4,2.4219268489108456,15,15,3,2,0,100.1,385,69,28,27,9,19,4,2,0,131,"Blake Gillespie","sa3032227",805730
"Zachary Root","ARK",21,9,6,3.624160981039752,19,19,1,0,0,99.1,420,82,47,40,7,35,9,6,2,126,"Zachary Root","sa3041130",702539
"Kyson Witherspoon","OU",20,10,4,2.6526315789473682,16,16,1,1,0,95,390,73,39,28,9,23,10,5,0,124,"Kyson Witherspoon","sa3045487",804817
"Colton Book","JOES",22,6,3,3.5307693343755084,14,14,1,1,0,86.2,349,66,41,34,12,20,8,1,0,122,"Colton Book","sa3027377",822795
"JB Middleton","USM",21,10,1,2.3069619696179653,16,16,1,0,0,105.1,415,65,28,27,8,25,11,4,1,122,"JB Middleton","sa3037985",822477
"J.D. Thompson","VAN",21,6,5,4,16,16,0,0,0,90,380,79,40,40,11,30,8,7,0,122,"J.D. Thompson","sa3043764",702505
"Ben Jacobs","ASU",21,4,4,4.948207321720422,16,16,0,0,0,83.2,368,71,48,46,9,45,9,5,1,120,"Ben Jacobs","sa3034527",800624
"Dax Whitney","ORST",,6,3,3.404347939013537,17,17,0,0,0,76.2,330,61,30,29,5,37,10,8,1,120,"Dax Whitney","sa3060915",
"Jamie Arnold","FSU",21,8,2,2.9763780421573323,15,15,0,0,0,84.2,351,63,30,28,7,27,15,0,0,119,"Jamie Arnold","sa3026225",701364
"Ethan Norby","ECU",,8,5,3.8,18,14,1,1,0,90,368,73,39,38,13,22,5,1,0,119,"Ethan Norby","sa3038921",
"Trey Beard","FAU",20,7,1,3.13953488372093,16,15,0,0,1,86,350,61,33,30,5,32,3,11,0,118,"Trey Beard","sa3026802",
"Cameron Flukey","CCU",,8,2,3.18688532561969,18,17,1,1,0,101.2,414,78,40,36,6,24,11,8,1,118,"Cameron Flukey","sa3031493",
