name,team,class,nameascii,playerid,person_id,year,g,ab,pa,h,1b,2b,3b,hr,r,rbi,bb,so,hbp,sf,sh,gdp,sb,cs,avg,bb%,k%,bb/k,obp,slg,ops,iso,spd,babip,wsb,wrc,wraa,woba,wrc+
Tre Jones,AMCC,Fr,Tre Jones,6899505,q001216,2021,26.0,51,60,10,7,2,0,1,9,6,9,20,0,0,0,,1,0,0.19607843137254902,0.15,0.3333333333333333,0.45,0.31666666666666665,0.29411764705882354,0.6107843137254902,0.09803921568627452,3.5456349206349205,0.3,0.16039043220945648,5.837958788628127,-2.6277494366841534,0.3071902286379294,68.96007555720807
Tristan Welch,AMCC,Jr,Tristan Welch,6899507,q001218,2021,50.0,166,186,39,31,6,0,2,22,19,13,52,5,2,0,,5,4,0.23493975903614459,0.06989247311827956,0.27956989247311825,0.25,0.3064516129032258,0.3072289156626506,0.6136805285658764,0.07228915662650601,3.678339517625232,0.32456140350877194,-1.143879532146215,17.50256051800173,-8.741134980466338,0.3033633527345481,66.69243864311493
Diego Johnson,AMCC,Fr,Diego Johnson,6899511,q001220,2021,19.0,40,45,7,5,1,0,1,5,3,5,8,0,0,0,,0,0,0.175,0.1111111111111111,0.17777777777777778,0.625,0.26666666666666666,0.275,0.5416666666666667,0.10000000000000003,1.7905844155844155,0.1935483870967742,-0.024755979869089704,2.8890068908017197,-3.4602742781824896,0.2676011141449278,45.50132233731142
Bryce Balusek,AMCC,Fr,Bryce Balusek,6899513,q001222,2021,2.0,2,4,0,0,0,0,0,1,0,2,0,0,0,0,,0,0,0.0,0.5,0.0,,0.5,0.0,0.5,0.0,2.642857142857143,0.0,-0.004951195973817941,0.6579540518270155,0.09357350347286347,0.38755362525865034,116.57985976762359
Nate White,AMCC,Fr,Nate White,6899515,q001224,2021,19.0,19,23,3,3,0,0,0,4,0,3,7,1,0,0,,1,1,0.15789473684210525,0.13043478260869565,0.30434782608695654,0.42857142857142855,0.30434782608695654,0.15789473684210525,0.4622425629290618,0.0,4.631231093025253,0.25,-0.32297299360528164,1.4300640818719415,-1.8151240711644325,0.26518090925877585,44.06721627323506
Brandon Petkoff,AMCC,Fr,Brandon Petkoff,6899519,q001228,2021,26.0,53,66,10,8,1,0,1,9,1,10,14,2,0,1,,0,0,0.18867924528301888,0.15151515151515152,0.21212121212121213,0.7142857142857143,0.3384615384615385,0.2641509433962264,0.602612481857765,0.07547169811320753,1.8988095238095235,0.23684210526315788,-0.04951195973817941,6.833265765290635,-2.4790132825528723,0.31464778306685415,73.37909152188743
Steven Rivera-Chijin,AMCC,Sr,Steven Rivera-Chijin,6899526,q001231,2021,35.0,83,106,18,15,0,2,1,13,9,9,17,8,3,3,,3,0,0.21686746987951808,0.08490566037735849,0.16037735849056603,0.5294117647058824,0.33980582524271846,0.30120481927710846,0.6410106445198269,0.08433734939759038,4.059019944156193,0.25,0.520780864418913,11.89149754289398,-3.064586988491048,0.32499337410335605,79.5094298774517
Justin Taylor,AMCC,So,Justin Taylor,6899529,q001234,2021,22.0,60,73,20,13,4,2,1,8,10,6,17,2,3,2,,1,1,0.3333333333333333,0.0821917808219178,0.2328767123287671,0.35294117647058826,0.39436619718309857,0.5166666666666667,0.9110328638497653,0.1833333333333334,2.9149974732742012,0.4222222222222222,-0.35763136542200724,13.88204378251224,3.5820987750489652,0.41826463800376074,134.7778436919168
Josh Caraway,AMCC,Fr,Josh Caraway,7118058,q010341,2021,45.0,150,175,43,19,14,4,6,32,27,15,53,8,2,0,,4,1,0.2866666666666667,0.08571428571428572,0.3028571428571429,0.2830188679245283,0.37714285714285717,0.5533333333333333,0.9304761904761905,0.26666666666666666,4.781710476847611,0.3978494623655914,0.19038107685290445,33.005695812420605,8.314046821926455,0.4163975545260879,133.67149284005785
Leo Markotic,AMCC,So,Leo Markotic,7118060,q010343,2021,48.0,140,166,36,28,6,1,1,15,19,14,39,6,3,3,,5,1,0.2571428571428571,0.08433734939759036,0.23493975903614459,0.358974358974359,0.34355828220858897,0.3357142857142857,0.6792725679228746,0.07857142857142857,3.4305228485224313,0.33980582524271846,0.3755274889314506,20.198763779154,-3.2230289775433074,0.3363505482829777,86.23918753349184
Brendan Ryan,AMCC,So,Brendan Ryan,7118055,q010339,2021,45.0,141,160,43,31,5,4,3,27,19,14,31,5,0,0,,6,3,0.3049645390070922,0.0875,0.19375,0.45161290322580644,0.3875,0.46099290780141844,0.8484929078014185,0.15602836879432624,4.712391417810416,0.37383177570093457,-0.44071132243620503,28.610456951652797,6.035235017486715,0.40468961986522256,126.73389008128771
Itchy Burts,AMCC,Sr,Itchy Burts,7118049,q010334,2021,54.0,207,239,59,45,10,1,3,30,33,19,34,4,6,3,,13,8,0.28502415458937197,0.0794979079497908,0.14225941422594143,0.5588235294117647,0.3474576271186441,0.3864734299516908,0.7339310570703349,0.10144927536231885,4.4264586833682635,0.3181818181818182,-1.6134911246851606,32.234988445505955,-1.4867493186546243,0.35213292654593215,95.59112484340963
Luke Marbach,AMCC,Sr,Luke Marbach,7118050,q010335,2021,44.0,153,188,46,29,9,1,7,37,28,20,17,12,3,0,,11,2,0.3006535947712418,0.10638297872340426,0.09042553191489362,1.1764705882352942,0.4148936170212766,0.5098039215686274,0.924697538589904,0.2091503267973856,5.261471208616175,0.29545454545454547,1.0377009074047152,36.9528704478516,10.426984675206457,0.42591095904874143,139.30871438027265
Nick Mueller,AMCC,Fr,Nick Mueller,7118111,q010370,2021,13.0,17,27,2,1,0,0,1,6,3,10,7,0,0,0,,0,0,0.11764705882352941,0.37037037037037035,0.25925925925925924,1.4285714285714286,0.4444444444444444,0.29411764705882354,0.738562091503268,0.17647058823529413,2.358766233766233,0.1111111111111111,-0.027231577855998675,4.571558966539409,0.7619902651488835,0.39332886176722326,120.00200875418656
Tyler Byrd,AMCC,Fr,Tyler Byrd,7118077,q010349,2021,23.0,41,51,10,9,0,0,1,5,2,9,17,1,0,0,,0,0,0.24390243902439024,0.17647058823529413,0.3333333333333333,0.5294117647058824,0.39215686274509803,0.3170731707317073,0.7092300334768054,0.07317073170731708,0.833646616541353,0.391304347826087,-0.047036361751270434,7.448595774968834,0.2527437834533959,0.36550083397781785,103.51235383595166
Trevor Davis,AMCC,So,Trevor Davis,7118134,q010383,2021,6.0,5,8,0,0,0,0,0,0,0,2,3,1,0,0,,0,0,0.0,0.25,0.375,0.6666666666666666,0.375,0.0,0.375,0.0,0.14285714285714263,0.0,-0.0074267939607269105,0.6558044975123443,-0.47295659919595967,0.2888618562339903,58.099495050352374
