year,division,n_teams,n_team_seasons,w_1b,w_2b,w_3b,w_hr,w_bb,w_hbp,w_sb,w_cs,lambda_1b,lambda_2b,lambda_3b,lambda_hr,lambda_bb,lambda_hbp,lambda_sb,lambda_cs,cwoba_scale,lg_obp,lg_cwoba,lg_r_pa,lg_wsb_per_opp,park_factor,r2,rmse_runs,method
0,1,0,5569,0.762884,1.016861,1.573646,1.605609,0.601548,0.642994,0.259225,-0.448813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9749,15.78,pooled_unscaled_run_values
2008,1,286,286,0.946635,1.262915,2.011168,2.011168,0.745115,0.797934,0.321689,-0.58685,0.4059,0.0751,0.4614,0.0,0.4766,0.0,0.0,0.1865,1.240966,0.381193,0.381193,0.16594,0.010124,1.0,0.9666,15.92,shrunk_season
2009,1,288,288,0.953415,1.231882,1.834435,1.944888,0.745435,0.778864,0.314001,-0.599473,0.3936,0.0702,0.4427,0.0,0.4656,0.0,0.0,0.2169,1.211309,0.386123,0.386123,0.172497,0.008768,1.0,0.9652,16.11,shrunk_season
2010,1,292,292,0.949821,1.23527,1.967886,1.967886,0.735684,0.782493,0.315464,-0.556332,0.4189,0.0804,0.4697,0.0,0.4777,0.0,0.0,0.2133,1.216952,0.387622,0.387622,0.173427,0.012291,1.0,0.9601,16.79,shrunk_season
2011,1,292,292,0.971306,1.294353,2.101803,2.101803,0.734292,0.820249,0.330685,-0.667388,0.4727,0.0724,0.5274,0.0,0.5651,0.0,0.0,0.2631,1.275671,0.364641,0.364641,0.1442,0.007086,1.0,0.9569,14.59,shrunk_season
2012,1,290,290,0.974683,1.293333,2.050804,2.050804,0.760738,0.819135,0.330236,-0.585312,0.4066,0.0566,0.4661,0.0,0.4553,0.0,0.0,0.2064,1.273938,0.361098,0.361098,0.139245,0.008021,1.0,0.9379,16.37,shrunk_season
2013,1,296,296,0.981372,1.350025,1.926335,2.134553,0.729207,0.854819,0.344622,-0.593881,0.4645,0.0728,0.4706,0.0,0.5571,0.0,0.0,0.2735,1.329435,0.357621,0.357621,0.136413,0.010757,1.0,0.9593,14.53,shrunk_season
2014,1,296,296,0.968147,1.353839,2.146399,2.146399,0.755592,0.853979,0.344284,-0.566184,0.4352,0.0526,0.4443,0.0,0.4717,0.0,0.0,0.2283,1.328129,0.35439,0.35439,0.131558,0.010325,1.0,0.9489,15.26,shrunk_season
2015,1,295,295,0.960747,1.269302,2.01211,2.029435,0.781982,0.812723,0.327651,-0.555682,0.3728,0.0677,0.4238,0.0,0.4632,0.0,0.0,0.2095,1.263966,0.358661,0.358661,0.140058,0.009429,1.0,0.9476,16.18,shrunk_season
2016,1,295,295,0.972834,1.292443,2.012604,2.045948,0.734695,0.819335,0.330317,-0.484898,0.4167,0.0667,0.4407,0.0,0.4851,0.0,0.0,0.2007,1.27425,0.361038,0.361038,0.143022,0.012269,1.0,0.9562,15.99,shrunk_season
2017,1,295,295,0.963609,1.283456,1.903167,2.026808,0.739088,0.811671,0.327227,-0.564813,0.4524,0.0541,0.4402,0.0,0.5208,0.0,0.0,0.1759,1.26233,0.362635,0.362635,0.145727,0.008888,1.0,0.9562,15.7,shrunk_season
2018,1,297,297,0.971414,1.277533,1.905258,2.017774,0.756569,0.808053,0.325768,-0.545564,0.4103,0.0646,0.3931,0.0,0.5208,0.0,0.0,0.2106,1.256703,0.362087,0.362087,0.143676,0.010831,1.0,0.9585,15.54,shrunk_season
2019,1,297,297,0.96953,1.286305,1.980581,2.051633,0.737819,0.821612,0.331235,-0.577478,0.4488,0.0574,0.4425,0.0,0.5407,0.0,0.0,0.182,1.277791,0.363641,0.363641,0.147755,0.012472,1.0,0.9583,15.65,shrunk_season
2020,1,279,279,0.969505,1.304478,1.765537,2.058422,0.778579,0.824331,0.332331,-0.509323,0.3259,0.0532,0.3539,0.0,0.3814,0.0,0.0,0.1576,1.28202,0.357682,0.357682,0.14279,0.016446,1.0,0.9274,7.83,shrunk_season
2021,1,285,285,0.978736,1.22123,1.73604,1.934102,0.761,0.774545,0.31226,-0.5548,0.4099,0.0633,0.3858,0.0,0.5217,0.0,0.0,0.2001,1.204591,0.364494,0.364494,0.152591,0.011353,1.0,0.9733,13.66,shrunk_season
2022,1,293,293,0.951326,1.226643,1.851916,1.926319,0.776229,0.771428,0.311003,-0.523454,0.3885,0.0611,0.418,0.0,0.508,0.0,0.0,0.1715,1.199743,0.374302,0.374302,0.161842,0.013311,1.0,0.9671,15.5,shrunk_season
2023,1,295,295,0.956059,1.248312,1.944402,1.961292,0.73246,0.785433,0.316649,-0.540011,0.3949,0.0758,0.4261,0.0,0.5219,0.0,0.0,0.1821,1.221525,0.380521,0.380521,0.167477,0.015052,1.0,0.9649,15.33,shrunk_season
2024,1,295,295,0.955689,1.242072,1.898516,1.958742,0.746815,0.784412,0.316238,-0.538698,0.391,0.0615,0.3889,0.0,0.5098,0.0,0.0,0.1699,1.219937,0.383864,0.383864,0.169568,0.015353,1.0,0.9613,15.99,shrunk_season
