year,division,n_teams,lg_era,lg_ip,lg_hr,lg_bb_pit,lg_hbp,lg_so,cfip_constant,bb_allowed_source,hr_allowed_source,method
2008,1,286,5.5946,136614.7,13308,61969,16969,103807,4.1144,batting_proxy,batting_proxy,league_totals
2009,1,288,5.8538,134077.0,14927,60831,16956,103728,4.2132,batting_proxy,batting_proxy,league_totals
2010,1,292,5.9485,140945.7,15262,63224,17974,107490,4.3379,batting_proxy,batting_proxy,league_totals
2011,1,292,4.6661,140600.0,8416,58381,16112,105012,3.7923,pitching,batting_proxy,league_totals
2012,1,290,4.4961,142548.9,7810,58254,17031,104730,3.6689,pitching,batting_proxy,league_totals
2013,1,296,4.3844,144545.7,6876,58698,17273,104815,3.6395,pitching,batting_proxy,league_totals
2014,1,296,4.218,142509.0,6358,57397,17097,102547,3.509,pitching,batting_proxy,league_totals
2015,1,295,4.5676,140757.0,8964,59207,15519,109861,3.708,pitching,batting_proxy,league_totals
2016,1,295,4.7438,143945.0,10011,62946,15548,114635,3.7965,pitching,batting_proxy,league_totals
2017,1,295,4.9413,142979.3,12210,64364,15216,119861,3.838,pitching,batting_proxy,league_totals
2018,1,297,4.8768,142513.7,11491,66121,16891,124804,3.8326,pitching,batting_proxy,league_totals
2019,1,297,5.0621,143764.7,12305,69569,16836,129092,3.9423,pitching,batting_proxy,league_totals
2020,1,298,4.718,40326.0,2872,19797,5130,39614,3.9025,pitching,batting_proxy,league_totals
2021,1,286,5.2504,119379.0,12391,56936,15578,114098,3.9903,pitching,batting_proxy,league_totals
2022,1,293,5.729,139945.0,16599,69443,19100,132101,4.1769,pitching,batting_proxy,league_totals
2023,1,295,5.9974,141461.7,18696,73530,20119,132735,4.1699,pitching,batting_proxy,league_totals
2024,1,295,6.137,140773.0,19038,74863,22024,130616,4.1698,pitching,batting_proxy,league_totals
2025,1,299,6.1709,140922.0,17749,75376,23159,128864,4.2648,pitching,batting_proxy,league_totals
2026,1,304,6.0241,143675.3,17725,75131,23355,132444,4.2076,pitching,batting_proxy,league_totals
2008,2,222,5.7334,87800.7,7349,40566,11729,63282,4.3,batting_proxy,batting_proxy,league_totals
2009,2,227,5.86,88312.7,8144,40507,11897,65429,4.3627,batting_proxy,batting_proxy,league_totals
2010,2,230,6.0826,88020.7,8091,41166,12207,64805,4.541,batting_proxy,batting_proxy,league_totals
2011,2,235,5.0377,88873.8,4941,38889,11451,66133,4.104,pitching,batting_proxy,league_totals
2012,2,237,4.9994,93443.8,5305,41047,12177,67010,3.9868,pitching,batting_proxy,league_totals
2013,2,243,4.9047,93455.0,4646,38772,11994,66936,4.0613,pitching,batting_proxy,league_totals
2014,2,242,4.7212,92930.3,4284,37442,12021,64484,3.9129,pitching,batting_proxy,league_totals
2015,2,249,5.1665,94245.0,6754,40311,11674,73082,4.131,pitching,batting_proxy,league_totals
2016,2,254,5.3817,103048.3,8562,45167,12737,80832,4.1846,pitching,batting_proxy,league_totals
2017,2,259,5.3458,104198.3,8562,46699,13367,82198,4.126,pitching,batting_proxy,league_totals
2018,2,262,5.5594,103688.3,9289,50052,13828,88819,4.2597,pitching,batting_proxy,league_totals
2019,2,260,5.5307,103633.0,8777,51259,14153,90571,4.2841,pitching,batting_proxy,league_totals
2020,2,256,5.3946,36194.3,2919,18613,5219,33949,4.2468,pitching,batting_proxy,league_totals
2021,2,233,6.1772,68086.7,7869,35088,10313,64130,4.5581,pitching,batting_proxy,league_totals
2022,2,251,6.2284,99141.3,10859,50788,15369,90093,4.6201,pitching,batting_proxy,league_totals
2023,2,249,6.2374,100434.0,10555,52865,15813,86127,4.5348,pitching,batting_proxy,league_totals
2024,2,245,6.3908,98832.0,10776,52962,16374,83164,4.5516,pitching,batting_proxy,league_totals
2025,2,247,6.4057,100289.0,10892,53472,17575,82692,4.5176,pitching,batting_proxy,league_totals
2026,2,249,6.7473,100392.3,10901,57102,18682,82854,4.7217,pitching,batting_proxy,league_totals
2009,3,356,6.1499,108159.0,8106,51786,14598,76059,4.7407,batting_proxy,batting_proxy,league_totals
2010,3,358,6.3133,108991.7,8022,52305,14870,75813,4.8986,batting_proxy,batting_proxy,league_totals
2012,3,361,5.0813,115465.4,4467,49879,15416,76848,4.213,pitching,batting_proxy,league_totals
2013,3,359,4.7856,113112.3,3420,46294,14940,74905,4.0929,pitching,batting_proxy,league_totals
2014,3,358,4.7839,111279.0,3793,46041,14891,73289,4.0153,pitching,batting_proxy,league_totals
2015,3,372,5.0362,114770.3,4840,48022,14573,78935,4.2273,pitching,batting_proxy,league_totals
2016,3,370,5.1016,120709.7,5812,51487,15149,83290,4.1995,pitching,batting_proxy,league_totals
2017,3,376,5.177,119831.0,6258,53579,15512,85544,4.1961,pitching,batting_proxy,league_totals
2018,3,380,5.2943,119553.0,6206,56413,16038,91424,4.3309,pitching,batting_proxy,league_totals
2019,3,384,5.3743,124021.3,6483,59381,16973,94432,4.3707,pitching,batting_proxy,league_totals
2020,3,326,5.4704,28158.0,1604,14083,4329,24536,4.5109,pitching,batting_proxy,league_totals
2021,3,365,5.9124,89334.0,6494,44381,14180,73757,4.652,pitching,batting_proxy,league_totals
2022,3,383,6.1247,123321.0,9673,62347,20318,104366,4.7866,pitching,batting_proxy,league_totals
2023,3,386,6.1978,125863.0,9459,65253,20382,102053,4.8013,pitching,batting_proxy,league_totals
2024,3,383,6.1642,125634.3,9362,66457,22609,103143,4.7106,pitching,batting_proxy,league_totals
2025,3,379,6.3072,124523.7,9416,66278,23283,99302,4.7614,pitching,batting_proxy,league_totals
2026,3,377,6.5004,124077.3,9563,68063,24377,97290,4.8316,pitching,batting_proxy,league_totals
