Old name,New name
Texas A&M University-Corpus Christi,Texas A&M University Corpus Christi
US Military Academy,United States Military Academy
The Citadel,The Citadel Military College of South Carolina
,Coppin State University
University of Hawaii at Manoa,University of Hawaii Manoa
,Iona University
University of Arkansas-Little Rock,Little Rock University
Miami University of Ohio,Miami University-Ohio
Mount St. Mary's,Mount St. Mary's University
Northern Illinois University,University of Northern Illinois
Indiana University-Purdue University-Fort Wayne,Purdue Fort Wayne
Texas-Rio Grande Valley,University of Texas–Rio Grande Valley
"California State University, Sacramento",Sacramento State University
Stephen F. Austin State,Stephen F. Austin State University
Texas Southern University,Southern University and A&M College
Saint Peter's College,St. Peter's College
University of St. Thomas,"University of St. Thomas, Minnesota"
University of Tennessee,University of Tennessee Knoxville
Tennessee Tech,Tennessee Tech University
University of Arkansas-Pine Bluff,University of Arkansas at Pine Bluff
University of Maryland-Baltimore County,"University of Maryland, Baltimore County"
University of Maryland-Eastern Shore,University of Maryland Eastern Shore
University of Massachusetts-Lowell,University of Massachusetts Lowell
University of North Carolina Asheville,University of North Carolina at Asheville
Dixie State College of Utah,Utah Tech University
