team_id,division,team_old,team_new
1,1,A&M-Corpus Christi,A&M-Corpus Christi
2,2,AUM,AUM
3,1,Abilene Christian,Abilene Christian University
4,2,Abilene Christian,Abilene Christian
5,2,Academy of Art,Academy of Art
6,2,Adams St.,Adams St.
7,2,Adelphi,Adelphi
8,3,Adrian,Adrian
9,1,Air Force,United States Air Force Academy
10,1,Akron,University of Akron
11,1,Alabama,University of Alabama
12,1,Alabama A&M,Alabama A&M University
13,2,Alabama Huntsville,Alabama Huntsville
14,1,Alabama St.,Alabama State University
15,2,Albany St.,Albany St.
16,3,Albertus Magnus,Albertus Magnus
17,3,Albion,Albion
18,3,Albright,Albright
19,1,Alcorn,Alcorn State University
20,2,Alderson Broaddus,Alderson Broaddus
21,3,Alfred,Alfred
22,3,Alfred St.,Alfred St.
23,3,Allegheny,Allegheny
24,2,Alliance,Alliance
25,3,Alma,Alma
26,3,Alvernia,Alvernia
27,2,American Int'l,American Int'l
28,3,Amherst,Amherst
29,2,Anderson,Anderson
30,3,Anderson,Anderson
31,2,Angelo St.,Angelo St.
32,3,Anna Maria,Anna Maria
33,1,App State,Coppin State University
34,3,Arcadia,Arcadia
35,1,Arizona,University of Arizona
36,1,Arizona St.,Arizona State University
37,2,Ark.-Fort Smith,Ark.-Fort Smith
38,2,Ark.-Monticello,Ark.-Monticello
39,1,Ark.-Pine Bluff,University of Arkansas at Pine Bluff
40,1,Arkansas,University of Arkansas
41,1,Arkansas St.,Arkansas State University
42,2,Arkansas Tech,Arkansas Tech
43,2,Armstrong St.,Armstrong St.
44,1,Army West Point,United States Military Academy
45,3,Asbury,Asbury
46,2,Ashland,Ashland
47,2,Assumption,Assumption
48,1,Auburn,Auburn University
49,3,Augsburg,Augsburg
50,2,Augusta,Augusta
51,2,Augustana,Augustana
52,3,Augustana,Augustana
53,3,Aurora,Aurora
54,3,Austin,Austin
55,1,Austin Peay,Austin Peay State University
56,3,Averett,Averett
57,2,Azusa Pacific,Azusa Pacific
58,1,BYU,Brigham Young University
59,3,Babson,Babson
60,3,Baldwin Wallace,Baldwin Wallace
61,1,Ball St.,Ball State University
62,3,Bard,Bard
63,2,Barry,Barry
64,2,Barton,Barton
65,3,Baruch,Baruch
66,3,Bates,Bates
67,1,Baylor,Baylor University
68,3,Becker,Becker
69,3,Belhaven,Belhaven
70,1,Bellarmine,Bellarmine University
71,2,Bellarmine,Bellarmine
72,1,Belmont,Belmont University
73,2,Belmont Abbey,Belmont Abbey
74,3,Beloit,Beloit
75,2,Bemidji St.,Bemidji St.
76,2,Benedict,Benedict
77,3,Benedictine,Benedictine
78,2,Bentley,Bentley
79,3,Berea,Berea
80,3,Berry,Berry
81,3,Bethany,Bethany
82,3,Bethany Lutheran,Bethany Lutheran
83,3,Bethel,Bethel
84,1,Bethune-Cookman,Bethune–Cookman University
85,1,Binghamton,Binghamton University
86,2,Biola,Biola
87,1,Birmingham-So.,Birmingham-So.
88,3,Birmingham-So.,Birmingham-So.
89,3,Blackburn,Blackburn
90,2,Bloomfield,Bloomfield
91,2,Bloomsburg,Bloomsburg
92,2,Bluefield St.,Bluefield St.
93,3,Bluffton,Bluffton
94,3,Bob Jones,Bob Jones
95,1,Boise St.,Boise St.
96,1,Boston College,Boston College
97,3,Bowdoin,Bowdoin
98,1,Bowling Green,Bowling Green State University
99,1,Bradley,Bradley University
100,3,Brandeis,Brandeis
101,2,Brevard,Brevard
102,3,Brevard,Brevard
103,2,Bridgeport,Bridgeport
104,3,Bridgewater,Bridgewater
105,3,Bridgewater St.,Bridgewater St.
106,1,Brown,Brown University
107,1,Bryant,Bryant University
108,2,Bryant,Bryant
109,1,Bucknell,Bucknell University
110,3,Buena Vista,Buena Vista
111,1,Buffalo,Buffalo
112,1,Butler,Butler University
113,3,CCNY,CCNY
114,1,CSU Bakersfield,"California State University, Bakersfield"
115,2,CSU Pueblo,CSU Pueblo
116,1,CSUN,"California State University, Northridge"
117,2,CSUSB,CSUSB
118,2,CUI,CUI
119,3,CWRU,CWRU
120,3,Cabrini,Cabrini
121,3,Cairn,Cairn
122,3,Cal Lutheran,Cal Lutheran
123,1,Cal Poly,California Polytechnic State University
124,2,Cal Poly Pomona,Cal Poly Pomona
125,2,Cal St. Dom. Hills,Cal St. Dom. Hills
126,2,Cal St. East Bay,Cal St. East Bay
127,3,Cal St. East Bay,Cal St. East Bay
128,1,Cal St. Fullerton,"California State University, Fullerton"
129,2,Cal St. Monterey Bay,Cal St. Monterey Bay
130,2,Cal St. San Marcos,Cal St. San Marcos
131,2,Cal State LA,Cal State LA
132,2,Caldwell,Caldwell
133,1,California,"University of California, Berkeley"
134,2,California,California
135,1,California Baptist,California Baptist University
136,2,California Baptist,California Baptist
137,3,Caltech,Caltech
138,3,Calvin,Calvin
139,2,Cameron,Cameron
140,1,Campbell,Campbell University
141,1,Canisius,Canisius
142,3,Capital,Capital
143,3,Carleton,Carleton
144,3,Carroll,Carroll
145,2,Carson-Newman,Carson-Newman
146,3,Carthage,Carthage
147,2,Catawba,Catawba
148,3,Catholic,Catholic
149,3,Cazenovia,Cazenovia
150,2,Cedarville,Cedarville
151,1,Centenary,Centenary
152,3,Centenary,Centenary
153,3,Central,Central
154,1,Central Ark.,Central Ark.
155,2,Central Ark.,Central Ark.
156,1,Central Conn. St.,Central Connecticut State University
157,1,Central Mich.,Central Michigan University
158,2,Central Mo.,Central Mo.
159,2,Central Okla.,Central Okla.
160,2,Central Wash.,Central Wash.
161,3,Centre,Centre
162,2,Chaminade,Chaminade
163,3,Chapman,Chapman
164,2,Charleston,Charleston
165,1,Charleston So.,Charleston Southern University
166,1,Charlotte,University of North Carolina at Charlotte
167,3,Chatham,Chatham
168,2,Chestnut Hill,Chestnut Hill
169,1,Chicago St.,Chicago St.
170,2,Chico St.,Chico St.
171,2,Chowan,Chowan
172,3,Chowan,Chowan
173,3,Chris. Newport,Chris. Newport
174,2,Christian Brothers,Christian Brothers
175,1,Cincinnati,University of Cincinnati
176,2,Claflin,Claflin
177,3,Claremont-M-S,Claremont-M-S
178,2,Clarion,Clarion
179,3,Clark,Clark
180,2,Clark Atlanta,Clark Atlanta
181,3,Clarke,Clarke
182,3,Clarks Summit,Clarks Summit
183,3,Clarkson,Clarkson
184,1,Clemson,Clemson University
185,1,Cleveland St.,Cleveland St.
186,3,Coast Guard,Coast Guard
187,1,Coastal Carolina,Coastal Carolina University
188,3,Coe,Coe
189,2,Coker,Coker
190,1,Col. of Charleston,College of Charleston
191,3,Colby,Colby
192,3,Colby-Sawyer,Colby-Sawyer
193,2,Colo. Christian,Colo. Christian
194,2,Colo. Sch. of Mines,Colo. Sch. of Mines
195,2,Colorado Mesa,Colorado Mesa
196,1,Columbia,Columbia University
197,2,Columbus St.,Columbus St.
198,2,Concord,Concord
199,2,Concordia,Concordia
200,3,Concordia,Concordia
201,3,Concordia Chicago,Concordia Chicago
202,2,Concordia Portland,Concordia Portland
203,3,Concordia Wisconsin,Concordia Wisconsin
204,3,Concordia-M'head,Concordia-M'head
205,2,Concordia-St. Paul,Concordia-St. Paul
206,1,Coppin St.,Appalachian State University
207,1,Cornell,Cornell University
208,3,Cornell College,Cornell College
209,3,Cortland,Cortland
210,3,Covenant,Covenant
211,1,Creighton,Creighton University
212,3,Crown,Crown
213,3,Curry,Curry
214,2,D'Youville,D'Youville
215,3,D'Youville,D'Youville
216,1,DBU,Dallas Baptist University
217,2,DBU,DBU
218,3,Dallas,Dallas
219,3,Daniel Webster,Daniel Webster
220,1,Dartmouth,Dartmouth College
221,2,Davenport,Davenport
222,1,Davidson,Davidson College
223,2,Davis & Elkins,Davis & Elkins
