league name,conf name,start_year,end_year
ACC,ACC,2021,9999
America East,America East,2021,9999
ASUN,ASUN,2021,9999
Atlantic 10,Atlantic 10,2021,9999
Big 12,Big 12,2021,9999
Big East,Big East,2021,9999
Big South,Big South,2021,9999
Big Ten,Big Ten,2021,9999
Big West,Big West,2021,9999
CAA,Colonial Athletic,2021,2023
CAA,Coastal Athletic,2024,9999
CUSA,Conference USA,2021,9999
DI Independent,Independent,2021,9999
Horizon,Horizon League,2021,9999
Ivy League,Ivy League,2021,9999
MAAC,MAAC,2021,9999
MAC,Mid-American,2021,9999
MEAC,MEAC,2021,9999
Mountain West,Mountain West,2021,9999
MVC,Missouri Valley,2021,9999
NEC,Northeast,2021,9999
OVC,Ohio Valley,2021,9999
Pac-12,Pac-12,2021,9999
Patriot,Patriot League,2021,9999
SEC,SEC,2021,9999
SoCon,Southern,2021,9999
Southland,Southland,2021,9999
Summit League,The Summit League,2021,9999
Sun Belt,Sun Belt,2021,9999
SWAC,SWAC,2021,9999
The American,American Athletic,2021,9999
WAC,Western Athletic,2021,9999
WCC,West Coast,2021,9999
