name,team,age,nameascii,playerid,mlbamid,year,w_pitch,l_pitch,era_pitch,g_pitch,gs_pitch,cg_pitch,sho_pitch,sv_pitch,ip_pitch,tbf_pitch,h_pitch,r_pitch,er_pitch,hr_pitch,bb_pitch,hbp_pitch,wp_pitch,bk_pitch,so_pitch,k/9_pitch,bb/9_pitch,k/bb_pitch,hr/9_pitch,k%_pitch,bb%_pitch,k-bb%_pitch,avg_pitch,whip_pitch,babip_pitch,lob%_pitch,fip_pitch,e-f_pitch,g_bat,ab_bat,pa_bat,h_bat,1b_bat,2b_bat,3b_bat,hr_bat,r_bat,rbi_bat,bb_bat,so_bat,hbp_bat,sf_bat,sh_bat,gdp_bat,sb_bat,cs_bat,avg_bat,bb%_bat,k%_bat,bb/k_bat,obp_bat,slg_bat,ops_bat,iso_bat,spd_bat,babip_bat,wsb_bat,wrc_bat,wraa_bat,woba_bat,wrc+_bat,role,Acronym,Full Team Name,Round,Pick,Drafted By,Drafted From,Drafted?,Full Name_team,id_team,division_team,team_old,team_new,team_teamstats,league_team,W_team,L_team,T_team,G_team,WPCT_team,PE_team,Difference_team,BB (Batting)_team,AB_team,H_team,BA_team,DP_team,DPPG_team,2B_team,2BPG_team,IP_team,R (Pitching)_team,ER_team,ERA_team,PO_team,A_team,E_team,FPCT_team,HB_team,HBP_team,HA_team,HAPG_team,HR_team,HRPG_team,SF_team,SH_team,OBP_team,SB_team,SBPG_team,CS_team,R (Batting)_team,RPG_team,SHO_team,TB_team,SLG_team,SO_team,BB (Pitching)_team,K/BB_team,K/9_team,TP_team,3B_team,3BPG_team,WHIP_team,BBPG (Pitching)_team
a.j. causey,JVST,19.0,A.J. Causey,sa3028661,822067.0,2022,4.0,4.0,2.6068966203070443,25.0,1.0,0.0,0.0,9.0,48.1,202.0,37.0,16.0,14.0,1.0,10.0,12.0,0.0,0.0,58.0,10.800000284129183,1.8620690145050316,5.8,0.1862069014505031,0.28712871,0.04950495,0.23762376,0.20555556,0.9724138186859608,0.29752066,0.74652778,3.30711428831647,-0.7002176680094259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitcher,JVST,jacksonville state university,,,,,False,Jacksonville State University,397.0,1.0,Jacksonville St.,Jacksonville State University,Jacksonville St.,ASUN,27.0,28.0,0.0,55.0,0.491,0.509,-0.018,218.0,1865.0,498.0,0.267,50.0,0.91,104.0,1.89,487.2,317.0,263.0,4.85,1463.0,591.0,59.0,0.972,64.0,66.0,530.0,9.78,61.0,1.11,16.0,22.0,0.361,33.0,0.6,17.0,323.0,5.9,,805.0,0.432,450.0,245.0,1.84,8.3,,10.0,0.18,1.59,4.52
a.j. causey,JVST,20.0,A.J. Causey,sa3028661,822067.0,2023,5.0,2.0,5.069868826724762,15.0,14.0,1.0,0.0,0.0,76.1,342.0,82.0,48.0,43.0,12.0,23.0,14.0,7.0,0.0,89.0,10.49344943205823,2.711790302666733,3.86956522,1.4148471144348174,0.26023392,0.06725146,0.19298246,0.26885246,1.3755458057005168,0.34313725,0.69471624,5.437457246957344,-0.3675884202325816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitcher,JVST,jacksonville state university,,,,,False,Jacksonville State University,397.0,1.0,Jacksonville St.,Jacksonville State University,Jacksonville St.,ASUN,27.0,30.0,0.0,57.0,0.474,0.534,-0.06,218.0,2004.0,602.0,0.3,37.0,0.65,115.0,2.02,483.2,376.0,331.0,6.16,1451.0,512.0,52.0,0.974,66.0,72.0,518.0,9.64,74.0,1.3,16.0,10.0,0.386,36.0,0.63,10.0,405.0,7.1,2.0,965.0,0.482,474.0,257.0,1.84,8.8,,13.0,0.23,1.6,4.78
a.j. causey,TENN,21.0,A.J. Causey,sa3028661,822067.0,2024,13.0,3.0,4.434306445871995,19.0,6.0,0.0,0.0,1.0,91.1,393.0,93.0,53.0,45.0,13.0,22.0,10.0,2.0,0.0,125.0,12.317517905199988,2.1678831513151975,5.68181818,1.2810218621407985,0.31806616,0.05597964,0.26208651,0.25761773,1.259124052531554,0.35874439,0.6741573,3.8361292668019993,0.5981771790699955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitcher,TENN,university of tennessee knoxville,5.0,138.0,Kansas City Royals,university of tennessee,True,University of Tennessee Knoxville,871.0,1.0,Tennessee,University of Tennessee Knoxville,Tennessee,SEC,60.0,13.0,0.0,73.0,0.822,0.807,0.015,382.0,2463.0,764.0,0.31,42.0,0.58,160.0,2.19,622.0,301.0,269.0,3.89,1866.0,602.0,60.0,0.976,47.0,70.0,568.0,8.22,184.0,2.52,26.0,6.0,0.413,50.0,0.68,18.0,657.0,9.0,4.0,1494.0,0.607,700.0,210.0,3.33,10.1,1.0,9.0,0.12,1.25,3.04
a.j. colarusso,BC,20.0,A.J. Colarusso,sa3029125,,2024,3.0,8.0,7.2,14.0,14.0,0.0,0.0,0.0,65.0,308.0,83.0,57.0,52.0,11.0,32.0,6.0,3.0,0.0,63.0,8.723076923076922,4.430769230769231,1.96875,1.523076923076923,0.20454545,0.1038961,0.10064935,0.30740741,1.7692307692307692,0.36734694,0.60606061,5.780530584775485,1.4194694152245155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitcher,BC,boston college,,,,,False,Boston College,96.0,1.0,Boston College,Boston College,Boston College,ACC,22.0,31.0,0.0,53.0,0.415,0.45,-0.035,258.0,1737.0,466.0,0.268,43.0,0.81,85.0,1.6,459.0,379.0,338.0,6.63,1377.0,470.0,41.0,0.978,64.0,62.0,538.0,10.55,55.0,1.04,19.0,42.0,0.379,81.0,1.53,21.0,340.0,6.4,1.0,734.0,0.423,409.0,241.0,1.7,8.0,,9.0,0.17,1.7,4.73
a.j. colarusso,BC,21.0,A.J. Colarusso,sa3029125,,2025,1.0,6.0,4.886877996759821,19.0,15.0,0.0,0.0,1.0,73.2,327.0,79.0,43.0,40.0,7.0,31.0,5.0,2.0,0.0,58.0,7.085973095301739,3.787330447488861,1.87096774,0.8552036494329686,0.17737003,0.09480122,0.08256881,0.27147766,1.4932127212321673,0.31858407,0.68441065,4.940927027420004,-0.0540490306601837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitcher,BC,boston college,,,,,False,Boston College,96.0,1.0,Boston College,Boston College,Boston College,ACC,28.0,29.0,0.0,57.0,0.491,0.477,0.014,259.0,1837.0,481.0,0.262,47.0,0.82,80.0,1.4,494.0,370.0,327.0,5.96,1482.0,522.0,56.0,0.973,74.0,80.0,557.0,10.15,39.0,0.68,22.0,39.0,0.373,130.0,2.28,29.0,352.0,6.2,2.0,696.0,0.379,428.0,231.0,1.85,7.8,,9.0,0.16,1.6,4.21
a.j. evasco,KSU,19.0,A.J. Evasco,sa3059154,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,193.0,221.0,60.0,36.0,12.0,1.0,11.0,52.0,52.0,18.0,31.0,6.0,4.0,0.0,1.0,3.0,3.0,0.310880829,0.081447963,0.140271493,0.580645161,0.380090497,0.554404145,0.934494642,0.243523316,5.08313210601651,0.316129032,-1.4054971877485514,42.40878771296629,3.877524778758372,0.4042859179941238,110.06332127078014,Batter,KSU,kennesaw state university,,,,,False,Kennesaw State University,409.0,1.0,Kennesaw St.,Kennesaw State University,Kennesaw St.,CUSA,31.0,27.0,0.0,58.0,0.534,0.498,0.036,290.0,1963.0,543.0,0.277,32.0,0.55,111.0,1.91,496.0,370.0,310.0,5.63,1488.0,433.0,71.0,0.964,60.0,73.0,493.0,8.95,62.0,1.07,16.0,31.0,0.387,67.0,1.16,14.0,368.0,6.3,3.0,862.0,0.439,519.0,274.0,1.89,9.4,,11.0,0.19,1.55,4.97
a.j. martin,CHSO,,A.J. Martin,sa3037126,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,212.0,249.0,67.0,41.0,13.0,1.0,12.0,58.0,53.0,27.0,30.0,9.0,1.0,0.0,4.0,13.0,4.0,0.316037735,0.108433734,0.120481927,0.9,0.413654618,0.556603773,0.970258391,0.240566038,6.8639609574048155,0.321637426,-0.2585151565726846,55.52393863242086,9.106877765468914,0.4285602579155121,119.61967775506622,Batter,CHSO,charleston southern university,,,,,False,Charleston Southern University,165.0,1.0,Charleston So.,Charleston Southern University,Charleston So.,Big South,31.0,22.0,0.0,53.0,0.585,0.598,-0.013,301.0,1856.0,566.0,0.305,46.0,0.87,101.0,1.91,460.1,395.0,344.0,6.73,1381.0,485.0,75.0,0.961,99.0,110.0,530.0,10.36,68.0,1.28,27.0,13.0,0.426,97.0,1.83,33.0,491.0,9.3,,897.0,0.483,393.0,258.0,1.52,7.7,,13.0,0.25,1.71,5.04
a.j. mendolia,CARK,19.0,A.J. Mendolia,sa3037857,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,131.0,159.0,40.0,35.0,4.0,1.0,0.0,23.0,20.0,24.0,28.0,3.0,1.0,0.0,3.0,2.0,0.0,0.305343511,0.150943396,0.176100628,0.857142857,0.421383647,0.351145038,0.772528685,0.045801527,5.153809174784513,0.384615384,0.2403375739231705,26.422793452375487,4.626583193176343,0.3891266610637401,121.2265487355706,Batter,CARK,"university of california, riverside",,,,,False,"University of California, Riverside",906.0,1.0,UC Riverside,"University of California, Riverside",UC Riverside,Big West,15.0,36.0,0.0,51.0,0.294,0.284,0.01,118.0,1739.0,466.0,0.268,27.0,0.53,73.0,1.43,439.0,413.0,360.0,7.38,1317.0,497.0,70.0,0.963,80.0,55.0,598.0,12.26,21.0,0.41,18.0,14.0,0.331,31.0,0.61,18.0,249.0,4.9,,634.0,0.365,272.0,208.0,1.31,5.6,,16.0,0.31,1.84,
a.j. mendolia,CARK,20.0,A.J. Mendolia,sa3037857,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,181.0,238.0,45.0,40.0,4.0,0.0,1.0,33.0,16.0,45.0,36.0,8.0,3.0,1.0,4.0,1.0,1.0,0.248618784,0.18907563,0.151260504,1.25,0.413502109,0.287292817,0.700794926,0.038674033,2.4624167122871023,0.299319727,-0.6256636593025178,35.94850205318555,-0.0488643155850491,0.3672738819685666,99.86425585948577,Batter,CARK,"university of california, riverside",,,,,False,"University of California, Riverside",906.0,1.0,UC Riverside,"University of California, Riverside",UC Riverside,Big West,8.0,45.0,0.0,53.0,0.151,0.177,-0.026,154.0,1697.0,385.0,0.227,38.0,0.72,76.0,1.43,444.2,433.0,393.0,7.95,1334.0,449.0,50.0,0.973,71.0,61.0,585.0,11.84,8.0,0.15,12.0,16.0,0.312,33.0,0.62,19.0,187.0,3.5,,503.0,0.296,310.0,266.0,1.17,6.3,,9.0,0.17,1.91,5.38
a.j. mendolia,CARK,21.0,A.J. Mendolia,sa3037857,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,190.0,240.0,56.0,44.0,7.0,0.0,5.0,36.0,31.0,37.0,32.0,6.0,1.0,6.0,3.0,7.0,2.0,0.294736842,0.154166666,0.133333333,1.15625,0.423076923,0.410526315,0.833603238,0.115789473,4.241757004817393,0.331168831,0.1179072818194981,44.35033440490784,4.821071623764652,0.3999483109029949,112.1962093005804,Batter,CARK,"university of california, riverside",,,,,False,"University of California, Riverside",906.0,1.0,UC Riverside,"University of California, Riverside",UC Riverside,Big West,11.0,41.0,0.0,52.0,0.212,0.215,-0.003,154.0,1740.0,438.0,0.252,43.0,0.83,72.0,1.38,447.0,446.0,387.0,7.79,1341.0,519.0,73.0,0.962,92.0,42.0,563.0,11.34,18.0,0.35,19.0,17.0,0.324,37.0,0.71,20.0,220.0,4.2,,592.0,0.34,315.0,256.0,1.23,6.3,,14.0,0.27,1.83,5.15
