rank,name,position,school,age,bats,throws
1,Ethan Holliday,SS,Stillwater (OK),19,L,R
2,Kade Anderson,LHP,Louisiana State,21,L,L
3,Seth Hernandez,RHP,Corona (CA),19,R,R
4,Jamie Arnold,LHP,Florida State,21,L,L
5,Eli Willits,SS,Fort Cobb-Broxton (OK),18,S,R
6,Aiva Arquette,SS,Oregon State,22,R,R
7,Billy Carlson,SS,Corona (CA),19,R,R
8,Liam Doyle,LHP,Tennessee,21,R,L
9,JoJo Parker,SS,Purvis (MS),19,L,R
10,Kyson Witherspoon,RHP,Oklahoma,21,R,R
11,Ike Irish,C/OF/1B,Auburn,22,L,R
12,Steele Hall,SS,Hewitt-Trussville (AL),18,R,R
13,Daniel Pierce,SS,Mill Creek (GA),19,R,R
14,Kayson Cunningham,SS,Johnson (TX),19,L,R
15,Marek Houston,SS,Wake Forest,21,R,R
16,Brendan Summerhill,OF,Arizona,22,L,R
17,Wehiwa Aloy,SS,Arkansas,22,R,R
18,Tyler Bremner,RHP,UC Santa Barbara,21,R,R
19,Kruz Schoolcraft,LHP,Sunset (OR),18,L,L
20,Jace LaViolette,OF,Texas A&M,22,L,L
21,Gavin Kilen,2B/SS,Tennessee,21,L,R
22,Gavin Fien,INF,Great Oak (CA),18,R,R
23,Gage Wood,RHP,Arkansas,22,R,R
24,Slater de Brun,OF,Summit (OR),18,L,L
25,Xavier Neyens,SS,Mount Vernon (WA),19,L,R
26,Josh Hammond,3B,Wesleyan Christian (NC),19,R,R
27,Sean Gamble,OF/2B,IMG Academy (FL),19,L,R
28,Ethan Conrad,OF,Wake Forest,21,L,L
29,Andrew Fischer,3B,Tennessee,21,L,R
30,Devin Taylor,OF,Indiana,22,L,R
31,Patrick Forbes,RHP,Louisville,21,R,R
32,Caden Bodine,C,Coastal Carolina,22,S,R
33,Luke Stevenson,C,North Carolina,21,L,R
34,Max Belyeu,OF,Texas,22,L,R
35,Mason Neville,OF,Oregon,22,L,L
36,Cam Cannarella,OF,Clemson,22,L,R
37,Quentin Young,SS,Oaks Christian (CA),19,R,R
38,Riley Quick,RHP,Alabama,21,R,R
39,Tate Southisene,SS/OF,Basic (NV),19,R,R
40,Anthony Eyanson,RHP,Louisiana State,21,R,R
41,JB Middleton,RHP,Southern Mississippi,22,R,R
42,Zachary Root,LHP,Arkansas,22,L,L
43,Alex Lodise,SS,Florida State,21,R,R
44,Jack Bauer,LHP,Mississippi State,19,L,L
45,Aaron Watson,RHP,Trinity Christian (FL),19,R,R
46,Matthew Fisher,RHP,Memorial (IN),19,R,R
47,Brandon Compton,OF,Arizona State,22,L,L
48,Landon Harmon,RHP,East Union (MS),19,R,R
49,Angel Cervantes,RHP,UCLA,18,R,R
50,Jordan Yost,SS,Sickles (FL),19,L,R
51,Nick Becker,SS,Don Bosco Prep (NJ),19,R,R
52,Alec Blair,OF,Oklahoma,19,L,L
53,Cade Obermueller,LHP,Iowa,22,L,L
