rank,name,position,school,age,bats,throws,current_level
1,Druw Jones,OF,Wesleyan (GA),22,R,R,AA
2,Jackson Holliday,2B/SS,Stillwater (OK),22,L,R,AA
3,Elijah Green,OF,IMG Academy (FL),22,R,R,A+
4,Termarr Johnson,2B,Mays (GA),21,L,R,AAA
5,Brooks Lee,INF,Cal Poly,25,S,R,MLB
6,Kevin Parada,C,Georgia Tech,24,R,R,AA
7,Jacob Berry,OF/3B,Louisiana State,25,S,R,AAA
8,Cam Collier,1B/3B,Chipola JC,21,L,R,AA
9,Jace Jung,3B/2B,Texas Tech,25,L,R,AAA
10,Gavin Cross,OF,Virginia Tech,25,L,L,AAA
11,Brock Porter,RHP,Orchard Lake St. Mary's (MI),22,R,R,A+
12,Daniel Susac,C,Arizona,24,R,R,AAA
13,Justin Crawford,OF,Bishop Gorman (NV),22,L,R,MLB
14,Dylan Lesko,RHP,Buford (GA),22,R,R,A
15,Brandon Barriera,LHP,American Heritage (FL),22,L,L,A
16,Robby Snelling,LHP,McQueen (NV),22,R,L,MLB
17,Zach Neto,SS,Campbell,25,R,R,MLB
18,Chase DeLauter,OF,James Madison,24,L,L,MLB
19,Jackson Ferris,LHP,IMG Academy (FL),22,L,L,AAA
20,Cole Young,2B/SS,North Allegheny (PA),22,L,R,MLB
21,Jett Williams,SS/2B/OF,Rockwall-Heath (TX),22,R,R,AAA
22,Dylan Beavers,OF,California,24,L,R,MLB
23,Jordan Beck,OF,Tennessee,25,R,R,MLB
24,Cade Horton,RHP,Oklahoma,24,R,R,MLB
25,Connor Prielipp,LHP,Alabama,25,L,L,MLB
26,Gabriel Hughes,RHP,Gonzaga,24,R,R,AAA
27,Blade Tidwell,RHP,Tennessee,24,R,R,AAA
28,Peyton Graham,SS,Oklahoma,25,R,R,AA
29,Sterlin Thompson,OF,Florida,24,L,R,AAA
30,Carson Whisenhunt,LHP,East Carolina,25,L,L,AAA
31,Cayden Wallace,3B,Arkansas,24,R,R,AA
32,Drew Gilbert,OF,Tennessee,25,L,L,MLB
33,Brock Jones,OF,Stanford,25,L,L,AAA
34,Cooper Hjerpe,LHP,Oregon State,25,L,L,AA
35,Tucker Toman,SS/3B,Hammond (SC),22,S,R,A+
36,Justin Campbell,RHP,Oklahoma State,25,L,R,AA
37,Jacob Miller,RHP,Liberty Union (OH),22,R,R,AA
38,Kumar Rocker,RHP,Vanderbilt,26,R,R,MLB
39,Jacob Melton,OF,Oregon State,25,L,L,AAA
40,Henry Bolte,OF,Palo Alto (CA),22,R,R,AAA
41,Logan Tanner,C,Mississippi State,25,R,R,A+
42,Andrew Dutkanych IV,RHP,Vanderbilt,22,R,R,A
43,Peyton Pallette,RHP,Arkansas,25,R,R,MLB
44,Landon Sims,RHP,Mississippi State,25,R,R,AA
45,Thomas Harrington,RHP,Campbell,24,R,R,AAA
46,Tristan Smith,LHP,Clemson,22,R,L,A
47,JR Ritchie,RHP,Bainbridge (WA),22,R,R,MLB
48,Owen Murphy,RHP,Riverside-Brookfield (IL),22,R,R,AAA
