Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
1,Tennessee,SEC,22-8,22,8,60-13,60,13,12,24-2,24,2,10,73,40-4,40,4,9-6,9,6,11-3,11,3,26-10,26,10,9-1,9,1,5-1,5,1,20-1,20,1
2,Texas A&M,SEC,19-11,19,11,53-15,53,15,6,25-0,25,0,1,82,37-3,37,3,9-8,9,8,7-4,7,4,18-15,18,15,9-0,9,0,7-0,7,0,19-0,19,0
3,Kentucky,SEC,22-8,22,8,46-16,46,16,4,17-4,17,4,13,29,26-6,26,6,16-5,16,5,4-5,4,5,20-10,20,10,13-3,13,3,5-2,5,2,8-1,8,1
4,North Carolina,ACC,22-8,22,8,48-16,48,16,11,19-4,19,4,12,21,37-3,37,3,9-8,9,8,2-5,2,5,11-12,11,12,8-3,8,3,16-1,16,1,13-0,13,0
5,Florida State,ACC,17-12,17,12,49-17,49,17,18,22-2,22,2,2,27,32-4,32,4,8-10,8,10,9-3,9,3,11-10,11,10,11-5,11,5,13-1,13,1,14-1,14,1
6,Arkansas,SEC,20-10,20,10,44-16,44,16,16,23-2,23,2,7,49,34-5,34,5,7-8,7,8,3-3,3,3,15-13,15,13,6-2,6,2,6-0,6,0,17-1,17,1
7,Georgia,SEC,17-13,17,13,43-17,43,17,10,22-1,22,1,4,54,33-7,33,7,8-9,8,9,2-1,2,1,9-14,9,14,16-1,16,1,2-0,2,0,16-2,16,2
8,Clemson,ACC,20-10,20,10,44-16,44,16,20,20-3,20,3,8,26,30-8,30,8,10-7,10,7,4-1,4,1,8-9,8,9,16-3,16,3,13-4,13,4,7-0,7,0
9,Virginia,ACC,18-12,18,12,46-17,46,17,24,22-2,22,2,9,67,31-7,31,7,11-5,11,5,4-5,4,5,8-9,8,9,14-6,14,6,11-1,11,1,13-1,13,1
10,Florida,SEC,13-17,13,17,36-30,36,30,1,15-9,15,9,36,4,19-13,19,13,13-13,13,13,4-4,4,4,21-21,21,21,2-6,2,6,1-1,1,1,12-2,12,2
11,Indiana State,Missouri Valley,22-5,22,5,44-15,44,15,62,17-6,17,6,6,17,16-2,16,2,17-10,17,10,11-3,11,3,4-7,4,7,7-3,7,3,20-4,20,4,13-1,13,1
12,North Carolina State,ACC,18-11,18,11,38-23,38,23,3,14-8,14,8,44,12,28-7,28,7,9-13,9,13,1-3,1,3,15-15,15,15,5-5,5,5,8-3,8,3,10-0,10,0
13,Oregon State,Pac-12,19-10,19,10,45-16,45,16,55,22-3,22,3,3,30,27-2,27,2,9-12,9,12,9-2,9,2,6-5,6,5,6-7,6,7,17-3,17,3,16-1,16,1
14,Wake Forest,ACC,15-15,15,15,38-22,38,22,8,21-4,21,4,11,52,25-7,25,7,10-12,10,12,3-3,3,3,8-15,8,15,10-5,10,5,7-2,7,2,13-0,13,0
15,LSU,SEC,13-17,13,17,43-23,43,23,13,23-3,23,3,16,66,27-9,27,9,7-13,7,13,9-1,9,1,10-16,10,16,13-4,13,4,6-1,6,1,14-2,14,2
16,Oklahoma State,Big 12,19-9,19,9,42-19,42,19,30,17-7,17,7,43,103,23-7,23,7,12-10,12,10,7-2,7,2,12-14,12,14,9-3,9,3,8-0,8,0,13-2,13,2
17,UC Santa Barbara,Big West,26-4,26,4,44-14,44,14,90,16-8,16,8,38,93,27-2,27,2,16-12,16,12,1-0,1,0,4-3,4,3,8-6,8,6,8-4,8,4,24-1,24,1
18,Oklahoma,Big 12,23-7,23,7,40-21,40,21,17,11-11,11,11,81,9,21-12,21,12,14-5,14,5,5-4,5,4,10-7,10,7,15-8,15,8,6-4,6,4,9-2,9,2
19,Mississippi State,SEC,17-13,17,13,40-23,40,23,15,19-6,19,6,42,70,25-9,25,9,8-11,8,11,7-3,7,3,14-15,14,15,5-2,5,2,10-1,10,1,11-5,11,5
20,Duke,ACC,16-14,16,14,40-20,40,20,26,19-4,19,4,48,203,22-10,22,10,11-9,11,9,7-1,7,1,13-14,13,14,6-3,6,3,7-0,7,0,14-3,14,3
21,Dallas Baptist,Conference USA,17-7,17,7,45-15,45,15,81,23-6,23,6,22,63,25-5,25,5,14-7,14,7,6-3,6,3,10-3,10,3,5-9,5,9,10-2,10,2,20-1,20,1
22,San Diego,West Coast,20-4,20,4,41-15,41,15,86,17-9,17,9,21,8,18-4,18,4,18-10,18,10,5-1,5,1,3-10,3,10,7-3,7,3,6-0,6,0,25-2,25,2
23,South Carolina,SEC,13-17,13,17,37-25,37,25,7,20-4,20,4,27,120,22-10,22,10,9-11,9,11,6-4,6,4,12-21,12,21,7-2,7,2,4-1,4,1,14-1,14,1
24,East Carolina,American Athletic,19-8,19,8,46-17,46,17,65,21-5,21,5,5,7,29-6,29,6,13-9,13,9,4-2,4,2,6-2,6,2,2-7,2,7,18-5,18,5,20-3,20,3
25,UC Irvine,Big West,22-8,22,8,45-14,45,14,95,21-4,21,4,15,87,20-7,20,7,20-7,20,7,5-0,5,0,4-3,4,3,7-2,7,2,16-6,16,6,18-3,18,3
26,Vanderbilt,SEC,13-17,13,17,38-23,38,23,14,22-3,22,3,31,159,27-8,27,8,4-12,4,12,7-3,7,3,11-19,11,19,2-0,2,0,8-1,8,1,17-3,17,3
27,Southern Miss,Sun Belt,20-10,20,10,43-20,43,20,45,17-8,17,8,35,22,25-6,25,6,12-10,12,10,6-4,6,4,7-9,7,9,13-5,13,5,9-2,9,2,14-4,14,4
28,Alabama,SEC,13-17,13,17,33-24,33,24,9,20-4,20,4,33,151,22-8,22,8,8-12,8,12,3-4,3,4,15-21,15,21,2-0,2,0,3-2,3,2,13-1,13,1
29,Nebraska,Big Ten,16-8,16,8,40-22,40,22,40,18-11,18,11,34,14,18-8,18,8,15-9,15,9,7-5,7,5,3-3,3,3,15-12,15,12,16-5,16,5,6-2,6,2
30,UCF,Big 12,14-15,14,15,37-21,37,21,34,19-3,19,3,17,96,21-9,21,9,12-11,12,11,4-1,4,1,5-10,5,10,9-5,9,5,13-4,13,4,10-2,10,2
31,West Virginia,Big 12,19-11,19,11,36-24,36,24,33,14-9,14,9,46,60,17-6,17,6,14-16,14,16,5-2,5,2,6-10,6,10,13-8,13,8,8-5,8,5,9-1,9,1
32,Connecticut,Big East,17-4,17,4,35-26,35,26,32,15-17,15,17,50,10,16-5,16,5,17-18,17,18,2-3,2,3,8-10,8,10,5-10,5,10,13-6,13,6,9-0,9,0
33,Louisiana Tech,Conference USA,18-6,18,6,45-19,45,19,84,23-9,23,9,40,79,26-5,26,5,12-10,12,10,7-4,7,4,3-7,3,7,6-4,6,4,18-7,18,7,18-1,18,1
34,Coastal Carolina,Sun Belt,16-14,16,14,36-25,36,25,21,17-7,17,7,14,2,24-9,24,9,9-14,9,14,3-2,3,2,5-11,5,11,7-7,7,7,17-6,17,6,7-1,7,1
35,Arizona,Pac-12,20-10,20,10,36-23,36,23,31,13-10,13,10,32,1,19-9,19,9,13-11,13,11,4-3,4,3,3-10,3,10,15-5,15,5,7-7,7,7,11-1,11,1
36,Ole Miss,SEC,11-19,11,19,27-29,27,29,2,16-9,16,9,49,35,19-12,19,12,7-15,7,15,1-2,1,2,11-20,11,20,3-4,3,4,1-2,1,2,12-3,12,3
37,Kansas State,Big 12,15-15,15,15,35-26,35,26,27,16-7,16,7,26,34,20-7,20,7,10-16,10,16,5-3,5,3,9-16,9,16,6-6,6,6,8-2,8,2,12-2,12,2
38,UNCW,Coastal Athletic,20-7,20,7,40-21,40,21,51,16-12,16,12,70,48,22-9,22,9,13-11,13,11,5-1,5,1,5-6,5,6,6-5,6,5,13-5,13,5,16-5,16,5
39,Northeastern,Coastal Athletic,18-9,18,9,38-17,38,17,111,20-6,20,6,19,84,17-3,17,3,19-12,19,12,2-2,2,2,4-4,4,4,8-5,8,5,9-7,9,7,17-1,17,1
40,Oregon,Pac-12,19-11,19,11,40-20,40,20,59,18-5,18,5,29,50,23-8,23,8,14-9,14,9,3-3,3,3,8-6,8,6,6-4,6,4,12-9,12,9,14-1,14,1
41,Louisiana,Sun Belt,23-7,23,7,42-20,42,20,60,17-9,17,9,69,65,26-8,26,8,14-6,14,6,2-6,2,6,6-7,6,7,7-5,7,5,12-4,12,4,17-4,17,4
42,TCU,Big 12,14-16,14,16,33-21,33,21,35,17-3,17,3,20,104,21-8,21,8,7-11,7,11,5-2,5,2,6-8,6,8,7-9,7,9,6-3,6,3,14-1,14,1
43,Illinois,Big Ten,18-6,18,6,35-21,35,21,53,15-11,15,11,65,43,20-3,20,3,8-11,8,11,7-7,7,7,5-12,5,12,5-2,5,2,9-4,9,4,16-3,16,3
44,Xavier,Big East,12-9,12,9,30-27,30,27,25,17-16,17,16,37,3,13-9,13,9,16-15,16,15,1-3,1,3,7-12,7,12,2-3,2,3,15-9,15,9,6-3,6,3
45,Georgia Tech,ACC,15-15,15,15,33-25,33,25,23,16-6,16,6,63,152,22-9,22,9,9-12,9,12,2-4,2,4,11-16,11,16,4-2,4,2,7-6,7,6,11-1,11,1
46,James Madison,Sun Belt,17-13,17,13,36-25,36,25,42,15-8,15,8,24,6,23-6,23,6,9-16,9,16,4-3,4,3,7-10,7,10,5-9,5,9,9-1,9,1,15-5,15,5
47,Charleston,Coastal Athletic,21-5,21,5,41-14,41,14,117,18-7,18,7,94,192,24-9,24,9,15-3,15,3,2-2,2,2,3-4,3,4,6-6,6,6,11-0,11,0,21-4,21,4
48,Maryland,Big Ten,10-14,10,14,34-22,34,22,69,24-8,24,8,18,68,14-7,14,7,19-14,19,14,1-1,1,1,7-5,7,5,8-6,8,6,9-10,9,10,10-1,10,1
49,Texas,Big 12,20-10,20,10,36-24,36,24,29,15-10,15,10,80,28,24-12,24,12,11-6,11,6,1-6,1,6,12-10,12,10,6-5,6,5,5-1,5,1,13-8,13,8
50,Wofford,Southern,12-8,12,8,42-20,42,20,106,23-9,23,9,52,205,22-5,22,5,13-12,13,12,7-3,7,3,1-5,1,5,5-2,5,2,15-11,15,11,21-2,21,2
51,Auburn,SEC,8-22,8,22,27-26,27,26,5,19-4,19,4,25,62,18-13,18,13,5-12,5,12,4-1,4,1,4-19,4,19,10-5,10,5,4-0,4,0,9-2,9,2
52,Evansville,Missouri Valley,17-10,17,10,39-26,39,26,76,14-13,14,13,59,46,16-8,16,8,18-18,18,18,5-0,5,0,6-10,6,10,3-3,3,3,9-7,9,7,21-6,21,6
53,Saint John's,Big East,14-7,14,7,38-18-1,38,18,116,20-9-1,20,9,77,182,21-6-1,21,6,12-10,12,10,5-2,5,2,4-6-0,4,6,6-4-0,6,4,9-4-0,9,4,19-4-1,19,4
54,East Tennessee State,Southern,13-8,13,8,36-20,36,20,97,21-10,21,10,73,164,24-5,24,5,10-13,10,13,2-2,2,2,1-4,1,4,8-11,8,11,4-3,4,3,23-2,23,2
55,Indiana,Big Ten,15-9,15,9,33-26-1,33,26,36,15-13-1,15,13,93,44,17-11,17,11,11-9,11,9,5-6-1,5,6,7-12-0,7,12,6-4-0,6,4,12-6-1,12,6,8-4-0,8,4
56,Georgia Southern,Sun Belt,17-13,17,13,33-26,33,26,39,13-12,13,12,75,24,18-12,18,12,12-12,12,12,3-2,3,2,2-9,2,9,11-14,11,14,9-3,9,3,11-0,11,0
57,Portland,West Coast,19-5,19,5,37-19,37,19,138,16-12,16,12,72,121,17-5,17,5,18-11,18,11,2-3,2,3,3-6,3,6,3-7,3,7,12-6,12,6,19-0,19,0
58,Georgetown,Big East,13-7,13,7,36-21,36,21,96,21-12,21,12,61,136,17-9,17,9,17-8,17,8,2-4,2,4,3-6,3,6,9-10,9,10,8-3,8,3,16-2,16,2
59,Troy,Sun Belt,18-12,18,12,37-22,37,22,94,18-8,18,8,86,224,19-9,19,9,17-10,17,10,1-3,1,3,6-5,6,5,8-9,8,9,7-5,7,5,16-3,16,3
60,Texas Tech,Big 12,12-17,12,17,33-26,33,26,44,19-7,19,7,39,98,22-7,22,7,6-15,6,15,5-4,5,4,4-15,4,15,6-7,6,7,4-2,4,2,19-2,19,2
61,Louisville,ACC,16-14,16,14,32-24,32,24,37,16-8,16,8,146,229,25-10,25,10,7-10,7,10,0-4,0,4,7-16,7,16,5-3,5,3,6-3,6,3,14-2,14,2
62,Cincinnati,Big 12,17-13,17,13,32-25,32,25,54,14-10,14,10,104,173,18-8,18,8,10-15,10,15,4-2,4,2,4-11,4,11,10-6,10,6,8-5,8,5,10-3,10,3
63,Lamar,Southland,17-7,17,7,44-15,44,15,206,24-6,24,6,62,257,24-4,24,4,12-9,12,9,8-2,8,2,3-1,3,1,1-4,1,4,11-5,11,5,29-5,29,5
64,California,Pac-12,17-13,17,13,36-19,36,19,104,17-5,17,5,60,195,22-7,22,7,10-8,10,8,4-4,4,4,6-2,6,2,7-9,7,9,6-6,6,6,17-2,17,2
65,UNCG,Southern,15-6,15,6,33-21,33,21,77,18-13,18,13,101,130,22-9,22,9,11-10,11,10,0-2,0,2,3-7,3,7,3-3,3,3,12-5,12,5,15-6,15,6
66,Creighton,Big East,7-13,7,13,35-17,35,17,150,28-4,28,4,28,189,18-6,18,6,12-10,12,10,5-1,5,1,3-8,3,8,4-0,4,0,12-6,12,6,16-3,16,3
67,Ohio State,Big Ten,12-12,12,12,29-26,29,26,49,16-12,16,12,51,42,13-8,13,8,11-15,11,15,5-3,5,3,6-6,6,6,8-10,8,10,5-6,5,6,10-4,10,4
68,Virginia Tech,ACC,14-16,14,16,32-22,32,22,70,18-4,18,4,64,273,22-9,22,9,10-11,10,11,0-2,0,2,3-15,3,15,5-1,5,1,9-5,9,5,15-1,15,1
69,Nicholls,Southland,16-8,16,8,34-22,34,22,92,14-12,14,12,76,39,17-9,17,9,12-11,12,11,5-2,5,2,1-8,1,8,0-4,0,4,16-4,16,4,17-6,17,6
70,South Alabama,Sun Belt,14-16,14,16,31-25,31,25,52,17-8,17,8,41,56,18-11,18,11,12-12,12,12,1-2,1,2,6-5,6,5,10-11,10,11,4-1,4,1,11-8,11,8
71,Kansas,Big 12,15-15,15,15,31-23,31,23,63,14-6,14,6,79,181,17-8,17,8,8-9,8,9,6-6,6,6,3-8,3,8,6-9,6,9,12-3,12,3,10-3,10,3
72,Appalachian State,Sun Belt,16-13-1,16,13,33-21-1,33,21,110,15-6,15,6,57,227,15-7,15,7,15-11-1,15,11,3-3,3,3,2-6-0,2,6,10-6-0,10,6,12-8-1,12,8,9-1-0,9,1
73,VCU,Atlantic 10,15-8,15,8,38-23,38,23,114,18-13,18,13,58,38,18-9,18,9,12-13,12,13,8-1,8,1,3-8,3,8,1-2,1,2,16-6,16,6,18-7,18,7
74,Hawaii,Big West,20-10,20,10,33-16,33,16,118,13-6,13,6,113,171,23-10,23,10,10-6,10,6,0-0,0,0,1-8,1,8,2-2,2,2,11-2,11,2,19-4,19,4
75,Old Dominion,Sun Belt,15-15,15,15,31-26,31,26,41,14-9,14,9,54,15,21-12,21,12,7-12,7,12,3-2,3,2,3-8,3,8,9-8,9,8,9-7,9,7,10-3,10,3
76,USC,Pac-12,17-12,17,12,31-28,31,28,47,11-15,11,15,120,36,16-10,16,10,12-11,12,11,3-7,3,7,6-6,6,6,3-7,3,7,16-12,16,12,6-3,6,3
77,Rutgers,Big Ten,6-18,6,18,28-25,28,25,72,22-7,22,7,23,113,13-9,13,9,15-16,15,16,0-0,0,0,0-5,0,5,10-14,10,14,12-6,12,6,6-0,6,0
78,Sam Houston State,Conference USA,13-11,13,11,34-24,34,24,91,20-11,20,11,56,99,23-7,23,7,10-14,10,14,1-3,1,3,3-9,3,9,3-3,3,3,9-12,9,12,19-0,19,0
79,Notre Dame,ACC,9-21,9,21,27-25,27,25,61,18-4,18,4,53,263,16-8,16,8,11-17,11,17,0-0,0,0,2-13,2,13,1-6,1,6,13-4,13,4,11-2,11,2
80,Murray State,Missouri Valley,17-10,17,10,37-20,37,20,157,20-8,20,8,66,211,20-8,20,8,17-10,17,10,0-2,0,2,5-7,5,7,1-3,1,3,8-4,8,4,23-6,23,6
81,Miami (FL),ACC,11-19,11,19,27-30,27,30,19,14-10,14,10,137,149,19-16,19,16,6-13,6,13,2-1,2,1,8-15,8,15,4-4,4,4,4-6,4,6,11-5,11,5
82,Tulane,American Athletic,15-12,15,12,36-26,36,26,87,16-12,16,12,85,47,19-13,19,13,12-12,12,12,5-1,5,1,4-8,4,8,4-2,4,2,12-8,12,8,16-8,16,8
83,Utah,Pac-12,16-14,16,14,33-22,33,22,127,16-7,16,7,90,261,15-8,15,8,14-13,14,13,4-1,4,1,3-4,3,4,7-9,7,9,8-4,8,4,15-5,15,5
84,Kennesaw State,ASUN,19-10,19,10,32-24,32,24,131,10-13,10,13,55,19,13-6,13,6,16-17,16,17,3-1,3,1,4-7,4,7,2-4,2,4,6-5,6,5,20-8,20,8
85,Campbell,Coastal Athletic,12-15,12,15,31-22,31,22,88,19-7,19,7,30,55,22-10,22,10,8-12,8,12,1-0,1,0,7-9,7,9,1-2,1,2,6-5,6,5,17-6,17,6
86,Arizona State,Pac-12,17-13,17,13,32-26,32,26,64,15-11,15,11,102,77,21-12,21,12,11-9,11,9,0-5,0,5,2-7,2,7,2-5,2,5,20-10,20,10,8-4,8,4
87,Michigan,Big Ten,14-10,14,10,32-28,32,28,68,16-16,16,16,116,91,19-8,19,8,9-12,9,12,4-8,4,8,2-12,2,12,9-5,9,5,9-7,9,7,12-4,12,4
