name,team,class,nameascii,playerid,person_id,year,w,l,era,g,gs,cg,sho,sv,ip,tbf,h,r,er,hr,bb,hbp,wp,bk,so,k/9,bb/9,k/bb,hr/9,k%,bb%,k-bb%,avg,whip,babip,lob%,fip,e-f
Cassius Shy,AMCC,Jr,Cassius Shy,6899506,q001217,2021,0.0,5.0,6.088235294117647,18,3,0.0,0.0,2.0,34.0,172,35,31,23,3,24,9,2,0,29,7.676470588235294,6.352941176470588,1.2083333333333333,0.7941176470588235,0.1686046511627907,0.13953488372093023,0.02906976744186046,0.2517985611510791,1.7352941176470589,0.29906542056074764,0.5799373040752351,6.240417225939321,-0.1521819318216746
Jaime Ramirez Jr.,AMCC,Fr,Jaime Ramirez Jr.,6899508,q001219,2021,7.0,2.0,4.272151898734178,17,3,1.0,0.0,1.0,52.2,224,44,27,25,5,28,1,2,1,51,8.715189873417723,4.784810126582279,1.8214285714285714,0.8544303797468354,0.22767857142857142,0.125,0.10267857142857142,0.22564102564102564,1.3670886075949367,0.2805755395683453,0.696969696969697,4.836843138076328,-0.5646912393421504
Dylan Johnson,AMCC,Fr,Dylan Johnson,6899512,q001221,2021,0.0,2.0,6.19672131147541,14,5,0.0,0.0,0.0,20.1,99,24,16,14,4,13,5,1,0,14,6.19672131147541,5.754098360655738,1.0769230769230769,1.7704918032786887,0.1414141414141414,0.13131313131313133,0.010101010101010083,0.2962962962962963,1.819672131147541,0.31746031746031744,0.7142857142857143,7.7235416232392256,-1.5268203117638155
Justin Lewis,AMCC,So,Justin Lewis,6899514,q001223,2021,0.0,0.0,23.142857142857142,4,0,0.0,0.0,0.0,2.1,20,6,6,6,0,6,1,0,0,4,15.428571428571427,23.142857142857142,0.6666666666666666,0.0,0.2,0.3,-0.09999999999999998,0.46153846153846156,5.142857142857142,0.6666666666666666,0.5384615384615384,9.458904620897304,13.683952521959839
Daniel Nelson,AMCC,Jr,Daniel Nelson,6899516,q001225,2021,0.0,1.0,14.4,11,2,0.0,0.0,0.0,10.0,68,22,20,16,0,11,3,3,0,11,9.9,9.9,1.0,0.0,0.16176470588235295,0.16176470588235295,0.0,0.4074074074074074,3.3,0.5116279069767442,0.4444444444444444,5.8874760494687335,8.512523950531268
Nic Hernandez,AMCC,Fr,Nic Hernandez,6899517,q001226,2021,0.0,0.0,,1,0,0.0,0.0,0.0,0.0,2,0,0,0,0,1,1,0,0,0,,,0.0,,0.0,0.5,-0.5,,,,1.0,,
Henry Bird,AMCC,Jr,Henry Bird,6899518,q001227,2021,1.0,3.0,6.75,15,4,0.0,0.0,1.0,38.2,177,40,33,29,8,19,6,2,0,31,7.2155172413793105,4.422413793103448,1.631578947368421,1.8620689655172415,0.1751412429378531,0.10734463276836158,0.06779661016949153,0.2631578947368421,1.5258620689655173,0.2831858407079646,0.5947955390334573,6.91333811843425,-0.1633381184342504
John Gaddis,AMCC,Jr,John Gaddis,6899521,q001229,2021,5.0,3.0,2.25,13,10,4.0,2.0,0.0,64.0,256,42,19,16,6,18,4,5,0,72,10.125,2.53125,4.0,0.84375,0.28125,0.0703125,0.2109375,0.1794871794871795,0.9375,0.23076923076923078,0.8093525179856115,3.8874760494687335,-1.6374760494687335
Leo Perez,AMCC,Jr,Leo Perez,6899522,q001230,2021,2.0,4.0,6.377952755905511,15,6,0.0,0.0,0.0,42.1,202,49,34,30,4,19,6,6,0,34,7.228346456692913,4.039370078740157,1.7894736842105263,0.8503937007874015,0.16831683168316833,0.09405940594059406,0.07425742574257427,0.2768361581920904,1.606299212598425,0.3237410071942446,0.5847953216374269,5.2811768368703085,1.0967759190352027
Hayden Thomas,AMCC,So,Hayden Thomas,6899527,q001232,2021,4.0,3.0,3.3061224489795915,15,14,0.0,0.0,0.0,81.2,363,73,41,30,4,39,10,11,2,94,10.359183673469387,4.297959183673469,2.41025641025641,0.4408163265306122,0.25895316804407714,0.10743801652892562,0.15151515151515152,0.23248407643312102,1.3714285714285714,0.3194444444444444,0.6958762886597938,4.022169927019754,-0.7160474780401627
Mason Hopkins,AMCC,So,Mason Hopkins,6899528,q001233,2021,0.0,0.0,16.615384615384617,7,2,0.0,0.0,0.0,8.2,53,21,17,16,3,4,2,0,1,7,7.26923076923077,4.153846153846154,1.75,3.1153846153846154,0.1320754716981132,0.07547169811320754,0.05660377358490566,0.44680851063829785,2.884615384615385,0.4864864864864865,0.43859649122807015,8.849014511007194,7.7663701043774225
Dom Lopez,AMCC,Fr,Dom Lopez,6899531,q001235,2021,0.0,1.0,11.7,11,0,0.0,0.0,0.0,10.0,57,15,13,13,3,7,4,2,0,10,9.0,6.3,1.4285714285714286,2.7,0.17543859649122806,0.12280701754385964,0.05263157894736842,0.32608695652173914,2.2,0.36363636363636365,0.5963302752293578,9.087476049468734,2.6125239505312656
Tyler Miller,AMCC,So,Tyler Miller,6899532,q001236,2021,3.0,3.0,3.193548387096774,17,1,0.0,0.0,0.0,31.0,129,26,13,11,4,12,2,2,0,28,8.129032258064516,3.4838709677419355,2.3333333333333335,1.1612903225806452,0.21705426356589147,0.09302325581395349,0.12403100775193798,0.22608695652173913,1.2258064516129032,0.26506024096385544,0.7848837209302326,5.1132825010816365,-1.9197341139848625
Sebastian Mejia,AMCC,Fr,Sebastian Mejia,7118099,q010362,2021,0.0,0.0,13.5,5,0,0.0,0.0,0.0,2.0,13,3,3,3,0,2,2,0,0,0,0.0,9.0,0.0,0.0,0.0,0.15384615384615385,-0.15384615384615385,0.3333333333333333,2.5,0.3333333333333333,0.5714285714285714,9.887476049468734,3.6125239505312656
Colin Purcell,AMCC,Fr,Colin Purcell,7118079,q010351,2021,0.0,1.0,14.921052631578949,9,1,0.0,0.0,0.0,12.2,83,21,24,21,2,15,6,5,0,12,8.526315789473685,10.657894736842106,0.8,1.4210526315789473,0.14457831325301204,0.18072289156626506,-0.03614457831325302,0.3387096774193548,2.8421052631578947,0.3958333333333333,0.4591836734693877,9.019054996837156,5.901997634741793
